n,elapsed_time,MFLOPs
2,0,inf
3,0,inf
4,0,inf
5,0,inf
6,0,inf
7,0,inf
8,0,inf
9,0,inf
10,0,inf
11,0,inf
12,0,inf
13,0,inf
14,0,inf
15,0,inf
16,0,inf
17,0,inf
18,0,inf
19,0,inf
20,0,inf
21,0,inf
22,0,inf
23,0,inf
24,0,inf
25,0,inf
26,0,inf
27,0,inf
28,0,inf
29,0,inf
30,0,inf
31,0,inf
32,0,inf
33,0,inf
34,0,inf
35,0,inf
36,0,inf
37,0,inf
38,0,inf
39,0,inf
40,0,inf
41,0,inf
42,0,inf
43,0,inf
44,0,inf
45,0,inf
46,0,inf
47,0,inf
48,0,inf
49,0,inf
50,0,inf
51,0,inf
52,0,inf
53,0,inf
54,0,inf
55,0,inf
56,0,inf
57,0,inf
58,0,inf
59,0,inf
60,0,inf
61,0,inf
62,0,inf
63,0,inf
64,0,inf
65,0,inf
66,0,inf
67,0,inf
68,0,inf
69,0,inf
70,0,inf
71,1,426
72,0,inf
73,0,inf
74,0,inf
75,0,inf
76,0,inf
77,0,inf
78,0,inf
79,0,inf
80,0,inf
81,0,inf
82,0,inf
83,0,inf
84,0,inf
85,0,inf
86,0,inf
87,0,inf
88,0,inf
89,0,inf
90,0,inf
91,0,inf
92,0,inf
93,0,inf
94,0,inf
95,0,inf
96,0,inf
97,0,inf
98,0,inf
99,0,inf
100,0,inf
101,0,inf
102,0,inf
103,0,inf
104,0,inf
105,0,inf
106,0,inf
107,0,inf
108,0,inf
109,0,inf
110,0,inf
111,0,inf
112,0,inf
113,0,inf
114,0,inf
115,0,inf
116,0,inf
117,0,inf
118,0,inf
119,0,inf
120,0,inf
121,1,726
122,0,inf
123,0,inf
124,0,inf
125,0,inf
126,0,inf
127,0,inf
128,0,inf
129,0,inf
130,0,inf
131,0,inf
132,1,792
133,1,798
134,1,804
135,1,810
136,1,816
137,1,822
138,1,828
139,1,834
140,1,840
141,1,846
142,1,852
143,1,858
144,1,864
145,1,870
146,1,876
147,1,882
148,1,888
149,1,894
150,1,900
151,1,906
152,1,912
153,1,918
154,1,924
155,1,930
156,1,936
157,1,942
158,1,948
159,1,954
160,1,960
161,1,966
162,1,972
163,1,978
164,1,984
165,1,990
166,1,996
167,1,1002
168,1,1008
169,1,1014
170,1,1020
171,1,1026
172,1,1032
173,1,1038
174,1,1044
175,1,1050
176,1,1056
177,1,1062
178,1,1068
179,1,1074
180,1,1080
181,1,1086
182,1,1092
183,1,1098
184,1,1104
185,1,1110
186,1,1116
187,1,1122
188,1,1128
189,1,1134
190,1,1140
191,1,1146
192,1,1152
193,1,1158
194,1,1164
195,1,1170
196,1,1176
197,1,1182
198,2,594
199,1,1194
200,1,1200
201,1,1206
202,1,1212
203,1,1218
204,1,1224
205,1,1230
206,1,1236
207,1,1242
208,1,1248
209,1,1254
210,1,1260
211,1,1266
212,1,1272
213,1,1278
214,1,1284
215,1,1290
216,1,1296
217,1,1302
218,1,1308
219,1,1314
220,1,1320
221,1,1326
222,1,1332
223,1,1338
224,1,1344
225,1,1350
226,1,1356
227,1,1362
228,1,1368
229,1,1374
230,1,1380
231,1,1386
232,1,1392
233,1,1398
234,1,1404
235,1,1410
236,1,1416
237,1,1422
238,1,1428
239,1,1434
240,1,1440
241,1,1446
242,1,1452
243,1,1458
244,1,1464
245,1,1470
246,1,1476
247,1,1482
248,1,1488
249,1,1494
250,1,1500
251,1,1506
252,1,1512
253,1,1518
254,1,1524
255,1,1530
256,1,1536
257,1,1542
258,1,1548
259,1,1554
260,1,1560
261,2,783
262,1,1572
263,1,1578
264,1,1584
265,2,795
266,1,1596
267,1,1602
268,1,1608
269,1,1614
270,1,1620
271,2,813
272,2,816
273,2,819
274,2,822
275,1,1650
276,2,828
277,2,831
278,2,834
279,2,837
280,2,840
281,2,843
282,2,846
283,2,849
284,2,852
285,2,855
286,2,858
287,2,861
288,2,864
289,2,867
290,2,870
291,2,873
292,2,876
293,2,879
294,2,882
295,2,885
296,2,888
297,2,891
298,2,894
299,2,897
300,2,900
301,2,903
302,2,906
303,2,909
304,2,912
305,2,915
306,2,918
307,2,921
308,2,924
309,2,927
310,2,930
311,2,933
312,2,936
313,2,939
314,2,942
315,2,945
316,2,948
317,2,951
318,2,954
319,2,957
320,2,960
321,2,963
322,2,966
323,2,969
324,2,972
325,2,975
326,2,978
327,2,981
328,2,984
329,2,987
330,2,990
331,2,993
332,2,996
333,2,999
334,2,1002
335,2,1005
336,2,1008
337,2,1011
338,2,1014
339,2,1017
340,2,1020
341,2,1023
342,2,1026
343,2,1029
344,2,1032
345,2,1035
346,2,1038
347,2,1041
348,2,1044
349,2,1047
350,2,1050
351,2,1053
352,2,1056
353,2,1059
354,2,1062
355,2,1065
356,2,1068
357,2,1071
358,2,1074
359,2,1077
360,2,1080
361,2,1083
362,2,1086
363,2,1089
364,2,1092
365,2,1095
366,2,1098
367,2,1101
368,2,1104
369,2,1107
370,2,1110
371,2,1113
372,2,1116
373,2,1119
374,2,1122
375,2,1125
376,2,1128
377,2,1131
378,2,1134
379,2,1137
380,2,1140
381,2,1143
382,2,1146
383,2,1149
384,2,1152
385,2,1155
386,2,1158
387,2,1161
388,2,1164
389,2,1167
390,2,1170
391,2,1173
392,2,1176
393,2,1179
394,2,1182
395,2,1185
396,2,1188
397,2,1191
398,2,1194
399,2,1197
400,2,1200
401,2,1203
402,2,1206
403,2,1209
404,2,1212
405,2,1215
406,2,1218
407,2,1221
408,2,1224
409,2,1227
410,2,1230
411,2,1233
412,2,1236
413,2,1239
414,2,1242
415,3,830
416,3,832
417,3,834
418,3,836
419,3,838
420,3,840
421,3,842
422,3,844
423,3,846
424,3,848
425,3,850
426,3,852
427,3,854
428,3,856
429,3,858
430,3,860
431,3,862
432,3,864
433,3,866
434,3,868
435,3,870
436,3,872
437,3,874
438,3,876
439,3,878
440,3,880
441,3,882
442,3,884
443,3,886
444,3,888
445,3,890
446,3,892
447,3,894
448,3,896
449,3,898
450,3,900
451,3,902
452,3,904
453,3,906
454,3,908
455,3,910
456,3,912
457,3,914
458,3,916
459,3,918
460,3,920
461,3,922
462,3,924
463,3,926
464,3,928
465,3,930
466,3,932
467,3,934
468,3,936
469,3,938
470,3,940
471,3,942
472,3,944
473,3,946
474,3,948
475,3,950
476,3,952
477,3,954
478,3,956
479,3,958
480,3,960
481,3,962
482,3,964
483,3,966
484,3,968
485,3,970
486,3,972
487,3,974
488,3,976
489,3,978
490,3,980
491,3,982
492,3,984
493,3,986
494,3,988
495,3,990
496,3,992
497,3,994
498,3,996
499,3,998
500,3,1000
501,3,1002
502,3,1004
503,3,1006
504,3,1008
505,3,1010
506,3,1012
507,3,1014
508,3,1016
509,3,1018
510,3,1020
511,3,1022
512,3,1024
513,3,1026
514,3,1028
515,3,1030
516,3,1032
517,3,1034
518,3,1036
519,3,1038
520,3,1040
521,3,1042
522,3,1044
523,3,1046
524,3,1048
525,3,1050
526,3,1052
527,3,1054
528,7,452.571
529,6,529
530,6,530
531,5,637.2
532,5,638.4
533,6,533
534,6,534
535,4,802.5
536,4,804
537,7,460.286
538,5,645.6
539,7,462
540,3,1080
541,3,1082
542,6,542
543,7,465.429
544,5,652.8
545,7,467.143
546,7,468
547,7,468.857
548,5,657.6
549,3,1098
550,7,471.429
551,4,826.5
552,3,1104
553,4,829.5
554,3,1108
555,4,832.5
556,3,1112
557,4,835.5
558,3,1116
559,4,838.5
560,4,840
561,4,841.5
562,4,843
563,4,844.5
564,4,846
565,4,847.5
566,4,849
567,4,850.5
568,4,852
569,4,853.5
570,4,855
571,4,856.5
572,4,858
573,4,859.5
574,4,861
575,4,862.5
576,4,864
577,4,865.5
578,4,867
579,4,868.5
580,4,870
581,4,871.5
582,4,873
583,4,874.5
584,4,876
585,4,877.5
586,4,879
587,4,880.5
588,4,882
589,4,883.5
590,4,885
591,4,886.5
592,4,888
593,4,889.5
594,4,891
595,4,892.5
596,6,596
597,4,895.5
598,4,897
599,4,898.5
600,4,900
601,4,901.5
602,4,903
603,4,904.5
604,4,906
605,4,907.5
606,4,909
607,4,910.5
608,4,912
609,4,913.5
610,6,610
611,4,916.5
612,4,918
613,4,919.5
614,4,921
615,4,922.5
616,4,924
617,4,925.5
618,4,927
619,4,928.5
620,4,930
621,4,931.5
622,4,933
623,4,934.5
624,4,936
625,4,937.5
626,4,939
627,4,940.5
628,8,471
629,8,471.75
630,8,472.5
631,7,540.857
632,5,758.4
633,5,759.6
634,4,951
635,4,952.5
636,4,954
637,4,955.5
638,4,957
639,4,958.5
640,4,960
641,4,961.5
642,4,963
643,6,643
644,4,966
645,4,967.5
646,5,775.2
647,4,970.5
648,4,972
649,4,973.5
650,4,975
651,4,976.5
652,4,978
653,4,979.5
654,4,981
655,4,982.5
656,4,984
657,4,985.5
658,4,987
659,4,988.5
660,4,990
661,4,991.5
662,4,993
663,4,994.5
664,4,996
665,4,997.5
666,4,999
667,4,1000.5
668,4,1002
669,4,1003.5
670,4,1005
671,4,1006.5
672,4,1008
673,4,1009.5
674,4,1011
675,4,1012.5
676,4,1014
677,4,1015.5
678,4,1017
679,4,1018.5
680,4,1020
681,4,1021.5
682,4,1023
683,5,819.6
684,4,1026
685,4,1027.5
686,4,1029
687,4,1030.5
688,4,1032
689,4,1033.5
690,4,1035
691,4,1036.5
692,4,1038
693,4,1039.5
694,4,1041
695,4,1042.5
696,5,835.2
697,4,1045.5
698,5,837.6
699,5,838.8
700,4,1050
701,5,841.2
702,5,842.4
703,5,843.6
704,5,844.8
705,5,846
706,5,847.2
707,5,848.4
708,5,849.6
709,5,850.8
710,5,852
711,5,853.2
712,5,854.4
713,5,855.6
714,5,856.8
715,7,612.857
716,5,859.2
717,5,860.4
718,5,861.6
719,8,539.25
720,8,540
721,5,865.2
722,5,866.4
723,5,867.6
724,5,868.8
725,5,870
726,5,871.2
727,6,727
728,6,728
729,5,874.8
730,5,876
731,5,877.2
732,5,878.4
733,5,879.6
734,5,880.8
735,5,882
736,5,883.2
737,5,884.4
738,5,885.6
739,5,886.8
740,5,888
741,5,889.2
742,5,890.4
743,5,891.6
744,5,892.8
745,5,894
746,5,895.2
747,5,896.4
748,5,897.6
749,5,898.8
750,5,900
751,5,901.2
752,5,902.4
753,5,903.6
754,5,904.8
755,5,906
756,5,907.2
757,5,908.4
758,5,909.6
759,5,910.8
760,5,912
761,5,913.2
762,5,914.4
763,5,915.6
764,5,916.8
765,5,918
766,5,919.2
767,5,920.4
768,5,921.6
769,5,922.8
770,5,924
771,5,925.2
772,5,926.4
773,5,927.6
774,5,928.8
775,5,930
776,5,931.2
777,5,932.4
778,5,933.6
779,5,934.8
780,5,936
781,5,937.2
782,5,938.4
783,5,939.6
784,5,940.8
785,5,942
786,5,943.2
787,5,944.4
788,5,945.6
789,5,946.8
790,5,948
791,5,949.2
