n,elapsed_time,FLOPs
2,1,6.4e+08
3,3,4.48e+08
4,6,3.84e+08
5,10,3.52e+08
6,14,3.56571e+08
7,19,3.53684e+08
8,23,3.78435e+08
9,23,4.75826e+08
10,27,4.97778e+08
11,32,5.06e+08
12,38,5.05263e+08
13,44,5.10545e+08
14,51,5.0949e+08
15,55,5.41091e+08
16,64,5.28e+08
17,70,5.44e+08
18,79,5.39544e+08
19,88,5.38909e+08
20,98,5.3551e+08
21,104,5.55692e+08
22,113,5.60708e+08
23,124,5.57935e+08
24,140,5.376e+08
25,145,5.62759e+08
26,156,5.65333e+08
27,168,5.65714e+08
28,180,5.67467e+08
29,227,4.82396e+08
30,199,5.88543e+08
31,213,5.86817e+08
32,225,5.91644e+08
33,248,5.70581e+08
34,257,5.84218e+08
35,272,5.84706e+08
36,286,5.88084e+08
37,306,5.80392e+08
38,322,5.81565e+08
39,338,5.83385e+08
40,358,5.79218e+08
41,369,5.90222e+08
42,382,5.98115e+08
43,405,5.9117e+08
44,417,6.01017e+08
45,438,5.98356e+08
46,461,5.93909e+08
47,488,5.85574e+08
48,504,5.91238e+08
49,524,5.92489e+08
50,542,5.9631e+08
51,567,5.92931e+08
52,586,5.96314e+08
53,613,5.92078e+08
54,631,5.96995e+08
55,662,5.90211e+08
56,684,5.92094e+08
57,705,5.95064e+08
58,728,5.96571e+08
59,752,5.97532e+08
60,786,5.91145e+08
61,805,5.96512e+08
62,832,5.96154e+08
63,857,5.97508e+08
64,886,5.9637e+08
65,913,5.96889e+08
66,1173,4.78936e+08
67,962,6.01746e+08
68,995,5.9922e+08
69,1026,5.98269e+08
70,1052,6.00456e+08
71,1088,5.97235e+08
72,1113,6.00323e+08
73,1142,6.01387e+08
74,1175,6.00565e+08
75,1202,6.02995e+08
76,1233,6.03562e+08
77,1264,6.04304e+08
78,1307,5.99651e+08
79,1337,6.01274e+08
80,1365,6.03897e+08
81,1407,6.00563e+08
82,1439,6.01751e+08
83,1469,6.03883e+08
84,1505,6.03684e+08
85,1540,6.04052e+08
86,1575,6.04566e+08
87,1608,6.0597e+08
