n,elapsed_time,FLOPs
2,0,inf
4,0,inf
6,0,inf
8,0,inf
10,1,6.3e+09
12,2,5.4e+09
14,3,5.684e+09
16,4,6.336e+09
18,10,3.5964e+09
20,11,4.47273e+09
22,14,4.66714e+09
24,18,4.704e+09
26,23,4.67322e+09
28,29,4.6229e+09
30,42,3.92143e+09
32,53,3.76755e+09
34,54,4.43133e+09
36,71,3.99752e+09
38,79,4.22233e+09
40,93,4.18065e+09
42,101,4.45366e+09
44,119,4.3438e+09
46,136,4.34091e+09
48,151,4.44016e+09
50,168,4.50893e+09
52,190,4.48295e+09
54,201,4.74394e+09
56,233,4.56268e+09
58,257,4.59441e+09
60,280,4.66714e+09
62,309,4.66505e+09
64,335,4.7318e+09
66,368,4.72295e+09
68,397,4.78706e+09
70,433,4.78684e+09
72,499,4.51912e+09
74,516,4.74374e+09
76,544,4.8735e+09
78,603,4.75218e+09
80,647,4.77774e+09
82,689,4.83074e+09
84,728,4.914e+09
86,816,4.70407e+09
88,957,4.29683e+09
90,982,4.47892e+09
92,945,4.97092e+09
94,1000,5.01001e+09
96,1037,5.14567e+09
98,1119,5.07235e+09
100,1162,5.18933e+09
102,1243,5.14759e+09
104,1322,5.12983e+09
106,1429,5.02436e+09
108,1483,5.1202e+09
110,1570,5.10975e+09
112,1737,4.87461e+09
114,1758,5.07864e+09
116,1740,5.4056e+09
118,2041,4.85055e+09
120,1799,5.78722e+09
122,2338,4.6791e+09
124,2372,4.84227e+09
126,2537,4.74966e+09
128,2273,5.55744e+09
130,2517,5.25733e+09
132,2705,5.12092e+09
134,2976,4.86912e+09
136,3023,5.01099e+09
138,2842,5.56846e+09
140,3219,5.1329e+09
142,3338,5.16484e+09
144,3335,5.39074e+09
146,3561,5.26166e+09
148,3804,5.13051e+09
150,4075,4.98589e+09
152,4151,5.09279e+09
154,4106,5.35429e+09
156,4231,5.40097e+09
158,4825,4.92037e+09
160,5113,4.82159e+09
162,5223,4.89908e+09
164,5108,5.19701e+09
166,5671,4.85425e+09
168,5843,4.88353e+09
170,5298,5.58035e+09
172,6218,4.92432e+09
174,6389,4.96149e+09
176,6097,5.38028e+09
178,6577,5.15943e+09
180,7122,4.92687e+09
182,6934,5.23086e+09
184,6874,5.45222e+09
186,7717,5.01658e+09
188,8022,4.98305e+09
190,10359,3.98323e+09
192,7618,5.58912e+09
194,8594,5.11068e+09
196,8827,5.13113e+09
198,9596,4.86577e+09
200,10231,4.70335e+09
202,9736,5.09212e+09
204,9790,5.21582e+09
206,10272,5.11859e+09
208,10506,5.15165e+09
210,10302,5.40655e+09
212,10577,5.41776e+09
214,11494,5.12785e+09
216,11733,5.16544e+09
218,12520,4.97635e+09
220,12434,5.14985e+09
222,17803,3.69568e+09
224,13099,5.15971e+09
226,13891,4.99692e+09
228,13956,5.10677e+09
230,15656,4.67301e+09
232,15826,4.74438e+09
234,17290,4.45585e+09
