n,time,FLOPs
2,75,1.6e+08
4,65,3.69231e+08
6,64,5.625e+08
8,53,9.0566e+08
10,51,1.17647e+09
12,75,9.6e+08
14,63,1.33333e+09
16,59,1.62712e+09
18,74,1.45946e+09
20,86,1.39535e+09
22,89,1.48315e+09
24,85,1.69412e+09
26,83,1.87952e+09
28,87,1.93103e+09
30,84,2.14286e+09
32,85,2.25882e+09
34,93,2.19355e+09
36,103,2.09709e+09
38,97,2.35052e+09
40,101,2.37624e+09
42,93,2.70968e+09
44,94,2.80851e+09
46,89,3.10112e+09
48,99,2.90909e+09
50,104,2.88462e+09
52,103,3.02913e+09
54,100,3.24e+09
56,86,3.90698e+09
58,85,4.09412e+09
60,100,3.6e+09
62,108,3.44444e+09
64,92,4.17391e+09
66,111,3.56757e+09
68,94,4.34043e+09
70,126,3.33333e+09
72,100,4.32e+09
74,95,4.67368e+09
76,115,3.96522e+09
78,105,4.45714e+09
80,102,4.70588e+09
82,119,4.13445e+09
84,120,4.2e+09
86,129,4e+09
88,124,4.25806e+09
90,135,4e+09
92,133,4.15038e+09
94,139,4.05755e+09
96,138,4.17391e+09
98,124,4.74194e+09
100,162,3.7037e+09
102,134,4.56716e+09
104,117,5.33333e+09
106,161,3.95031e+09
108,201,3.22388e+09
110,130,5.07692e+09
112,217,3.09677e+09
114,132,5.18182e+09
116,145,4.8e+09
118,129,5.48837e+09
120,145,4.96552e+09
122,142,5.15493e+09
124,135,5.51111e+09
126,129,5.86047e+09
128,132,5.81818e+09
130,133,5.86466e+09
132,138,5.73913e+09
134,137,5.86861e+09
136,138,5.91304e+09
138,329,2.51672e+09
140,173,4.85549e+09
142,161,5.29193e+09
144,262,3.29771e+09
146,148,5.91892e+09
148,164,5.41463e+09
150,152,5.92105e+09
152,161,5.6646e+09
154,173,5.34104e+09
156,166,5.63855e+09
158,172,5.51163e+09
160,151,6.35762e+09
162,164,5.92683e+09
164,175,5.62286e+09
166,170,5.85882e+09
168,173,5.82659e+09
170,187,5.45455e+09
172,174,5.93103e+09
174,171,6.10526e+09
176,201,5.25373e+09
178,195,5.47692e+09
180,174,6.2069e+09
182,180,6.06667e+09
184,187,5.90374e+09
186,185,6.03243e+09
188,188,6e+09
190,200,5.7e+09
192,209,5.51196e+09
194,201,5.79104e+09
196,207,5.68116e+09
198,206,5.76699e+09
200,191,6.28272e+09
202,211,5.74408e+09
204,194,6.30928e+09
206,205,6.02927e+09
208,213,5.85915e+09
210,196,6.42857e+09
212,228,5.57895e+09
214,225,5.70667e+09
216,231,5.61039e+09
218,226,5.78761e+09
220,220,6e+09
222,228,5.84211e+09
224,218,6.16514e+09
226,230,5.89565e+09
228,231,5.92208e+09
230,218,6.33028e+09
232,227,6.13216e+09
234,221,6.35294e+09
236,229,6.18341e+09
238,232,6.15517e+09
240,227,6.34361e+09
242,216,6.72222e+09
244,231,6.33766e+09
246,236,6.25424e+09
248,250,5.952e+09
250,259,5.79151e+09
252,231,6.54545e+09
254,231,6.5974e+09
256,227,6.76652e+09
258,282,5.48936e+09
260,244,6.39344e+09
262,239,6.57741e+09
264,320,4.95e+09
266,249,6.40964e+09
268,272,5.91176e+09
270,311,5.209e+09
272,304,5.36842e+09
274,258,6.37209e+09
276,377,4.39257e+09
278,359,4.64624e+09
280,285,5.89474e+09
282,299,5.65886e+09
284,308,5.53247e+09
286,426,4.02817e+09
288,349,4.95129e+09
290,383,4.54308e+09
292,282,6.21277e+09
294,442,3.99095e+09
296,430,4.13023e+09
298,359,4.9805e+09
300,407,4.4226e+09
302,446,4.06278e+09
304,465,3.92258e+09
306,497,3.69416e+09
308,439,4.20957e+09
310,498,3.73494e+09
312,405,4.62222e+09
314,478,3.94142e+09
316,401,4.72818e+09
318,509,3.74853e+09
320,496,3.87097e+09
322,478,4.04184e+09
324,451,4.31042e+09
326,488,4.0082e+09
328,555,3.54595e+09
330,487,4.06571e+09
332,490,4.06531e+09
334,445,4.50337e+09
336,494,4.08097e+09
338,401,5.05736e+09
340,417,4.89209e+09
342,440,4.66364e+09
344,411,5.0219e+09
346,420,4.94286e+09
348,389,5.36761e+09
350,488,4.30328e+09
352,427,4.94614e+09
354,452,4.69912e+09
356,402,5.31343e+09
358,416,5.16346e+09
360,421,5.13064e+09
362,518,4.19305e+09
364,529,4.12854e+09
366,390,5.63077e+09
368,472,4.67797e+09
370,442,5.02262e+09
372,446,5.00448e+09
374,397,5.65239e+09
376,483,4.67081e+09
378,489,4.63804e+09
380,571,3.99299e+09
382,559,4.10018e+09
384,788,2.92386e+09
386,464,4.99138e+09
388,494,4.71255e+09
390,638,3.66771e+09
392,682,3.44868e+09
394,533,4.43527e+09
396,498,4.77108e+09
398,549,4.34973e+09
400,547,4.38757e+09
402,426,5.66197e+09
404,445,5.44719e+09
406,577,4.22184e+09
408,539,4.54174e+09
410,567,4.33862e+09
412,655,3.77405e+09
414,430,5.77674e+09
416,623,4.00642e+09
418,622,4.03215e+09
420,550,4.58182e+09
422,508,4.98425e+09
424,521,4.88292e+09
426,512,4.99219e+09
428,552,4.65217e+09
430,493,5.23327e+09
432,715,3.62517e+09
434,579,4.49741e+09
436,438,5.9726e+09
438,440,5.97273e+09
440,742,3.55795e+09
442,577,4.59619e+09
444,569,4.6819e+09
446,571,4.68651e+09
448,749,3.58879e+09
450,615,4.39024e+09
452,514,5.27626e+09
454,690,3.94783e+09
456,615,4.44878e+09
458,513,5.35673e+09
460,496,5.56452e+09
462,562,4.93238e+09
464,676,4.11834e+09
466,649,4.30817e+09
468,602,4.66445e+09
470,523,5.39197e+09
472,561,5.04813e+09
474,608,4.67763e+09
476,602,4.74419e+09
478,624,4.59615e+09
480,642,4.48598e+09
482,674,4.2908e+09
484,544,5.33824e+09
486,682,4.27566e+09
488,567,5.16402e+09
490,666,4.41441e+09
492,698,4.22923e+09
494,2006,1.47757e+09
496,564,5.2766e+09
498,553,5.40325e+09
500,559,5.36673e+09
502,609,4.94581e+09
504,730,4.14247e+09
506,577,5.2617e+09
508,508,6e+09
510,681,4.49339e+09
512,567,5.41799e+09
514,682,4.52199e+09
516,556,5.56835e+09
518,619,5.021e+09
520,603,5.17413e+09
522,645,4.85581e+09
524,655,4.8e+09
526,660,4.78182e+09
528,603,5.25373e+09
530,633,5.0237e+09
532,605,5.27603e+09
534,616,5.2013e+09
536,616,5.22078e+09
538,734,4.39782e+09
540,658,4.92401e+09
542,899,3.61735e+09
544,624,5.23077e+09
546,686,4.77551e+09
548,619,5.31179e+09
550,625,5.28e+09
552,643,5.15086e+09
554,797,4.17064e+09
556,646,5.16409e+09
558,854,3.92037e+09
560,632,5.31646e+09
562,641,5.26053e+09
564,702,4.82051e+09
566,626,5.42492e+09
568,764,4.46073e+09
570,630,5.42857e+09
572,723,4.74689e+09
574,638,5.39812e+09
576,822,4.20438e+09
578,1257,2.75895e+09
580,685,5.08029e+09
582,771,4.52918e+09
584,641,5.46646e+09
586,715,4.91748e+09
588,799,4.41552e+09
590,681,5.19824e+09
592,558,6.36559e+09
594,1556,2.29049e+09
596,700,5.10857e+09
598,780,4.6e+09
600,667,5.3973e+09
602,658,5.48936e+09
604,711,5.09705e+09
606,853,4.2626e+09
608,561,6.50267e+09
610,700,5.22857e+09
612,694,5.29107e+09
614,616,5.98052e+09
616,636,5.81132e+09
618,598,6.20067e+09
620,836,4.44976e+09
622,733,5.09141e+09
624,640,5.85e+09
626,600,6.26e+09
628,666,5.65766e+09
630,665,5.68421e+09
632,545,6.9578e+09
634,664,5.72892e+09
636,754,5.06101e+09
638,892,4.29148e+09
640,743,5.16824e+09
642,871,4.4225e+09
644,597,6.47236e+09
646,690,5.61739e+09
648,740,5.25405e+09
650,740,5.27027e+09
652,671,5.8301e+09
654,915,4.28852e+09
656,935,4.20963e+09
658,839,4.7056e+09
660,1136,3.48592e+09
662,797,4.98369e+09
664,663,6.00905e+09
666,729,5.48148e+09
668,909,4.40924e+09
670,610,6.59016e+09
672,781,5.16261e+09
674,752,5.37766e+09
676,847,4.78867e+09
678,786,5.17557e+09
680,675,6.04444e+09
682,796,5.1407e+09
684,726,5.65289e+09
686,963,4.27414e+09
688,802,5.14713e+09
690,757,5.46896e+09
692,717,5.79079e+09
694,717,5.80753e+09
696,670,6.23284e+09
698,775,5.40387e+09
700,1108,3.79061e+09
702,677,6.22157e+09
704,681,6.20264e+09
706,725,5.84276e+09
708,765,5.55294e+09
710,764,5.57592e+09
712,1109,3.85212e+09
714,736,5.82065e+09
716,752,5.71277e+09
718,661,6.5174e+09
720,755,5.72185e+09
722,830,5.21928e+09
724,1005,4.32239e+09
726,698,6.24069e+09
728,664,6.57831e+09
730,1000,4.38e+09
732,904,4.85841e+09
734,754,5.84085e+09
736,885,4.98983e+09
738,833,5.31573e+09
740,835,5.31737e+09
742,849,5.24382e+09
744,1026,4.35088e+09
746,758,5.90501e+09
748,744,6.03226e+09
750,805,5.59006e+09
752,803,5.61893e+09
754,927,4.88026e+09
756,838,5.41289e+09
758,998,4.55711e+09
760,783,5.82375e+09
762,774,5.90698e+09
764,814,5.63145e+09
766,899,5.11235e+09
768,696,6.62069e+09
770,1079,4.28174e+09
772,870,5.32414e+09
774,831,5.58845e+09
776,888,5.24324e+09
778,833,5.60384e+09
780,1059,4.41926e+09
782,759,6.18182e+09
784,748,6.28877e+09
786,776,6.07732e+09
788,915,5.16721e+09
790,737,6.43148e+09
792,949,5.00738e+09
794,678,7.02655e+09
796,929,5.14101e+09
798,922,5.19306e+09
800,830,5.78313e+09
802,1058,4.5482e+09
804,1153,4.18387e+09
806,913,5.29682e+09
808,835,5.80599e+09
810,892,5.44843e+09
812,864,5.63889e+09
814,893,5.4692e+09
816,892,5.48879e+09
818,862,5.69374e+09
820,785,6.26752e+09
822,1022,4.82583e+09
824,709,6.9732e+09
826,780,6.35385e+09
828,894,5.55705e+09
830,876,5.68493e+09
832,866,5.76443e+09
834,839,5.96424e+09
836,1034,4.85106e+09
838,818,6.1467e+09
840,990,5.09091e+09
842,898,5.62584e+09
844,843,6.00712e+09
846,955,5.31518e+09
848,927,5.48867e+09
850,938,5.4371e+09
852,853,5.99297e+09
854,1021,5.01861e+09
856,898,5.71938e+09
858,1133,4.54369e+09
860,836,6.17225e+09
862,1144,4.52098e+09
864,1046,4.95602e+09
866,932,5.57511e+09
868,868,6e+09
870,952,5.48319e+09
872,942,5.55414e+09
874,992,5.28629e+09
876,1646,3.1932e+09
878,810,6.5037e+09
880,1044,5.05747e+09
882,1068,4.95506e+09
884,833,6.36735e+09
886,1086,4.89503e+09
888,1044,5.10345e+09
890,957,5.57994e+09
892,1059,5.05382e+09
894,1276,4.20376e+09
896,921,5.83713e+09
898,1102,4.88929e+09
900,938,5.75693e+09
902,969,5.58514e+09
904,1192,4.55034e+09
906,1199,4.53378e+09
908,1064,5.1203e+09
910,1050,5.2e+09
912,1050,5.21143e+09
914,895,6.12737e+09
916,1042,5.27447e+09
918,1156,4.76471e+09
920,1034,5.33849e+09
922,1157,4.78133e+09
924,1054,5.25996e+09
926,1050,5.29143e+09
928,1166,4.7753e+09
930,1170,4.76923e+09
932,1167,4.79177e+09
934,966,5.80124e+09
936,952,5.89916e+09
938,965,5.83212e+09
940,1007,5.60079e+09
942,1092,5.17582e+09
944,980,5.77959e+09
946,965,5.88187e+09
948,1015,5.60394e+09
950,935,6.09626e+09
952,1132,5.04594e+09
954,1060,5.4e+09
956,1031,5.56353e+09
958,1174,4.89608e+09
960,1030,5.59223e+09
962,1115,5.17668e+09
964,1030,5.61553e+09
966,1009,5.7443e+09
968,1005,5.7791e+09
970,1159,5.02157e+09
972,1090,5.35046e+09
974,1923,3.039e+09
976,1075,5.44744e+09
978,1352,4.34024e+09
980,1099,5.35032e+09
982,1067,5.52202e+09
984,1071,5.51261e+09
986,986,6e+09
988,1158,5.11917e+09
990,1122,5.29412e+09
992,1208,4.92715e+09
994,1484,4.01887e+09
996,1068,5.59551e+09
998,1391,4.30482e+09
1000,1096,5.47445e+09
1002,1127,5.33452e+09
1004,1233,4.88564e+09
1006,1104,5.46739e+09
1008,1181,5.12108e+09
1010,1119,5.41555e+09
1012,1032,5.88372e+09
1014,1208,5.03642e+09
1016,1189,5.127e+09
1018,1203,5.07731e+09
1020,1133,5.40159e+09
1022,1109,5.52931e+09
1024,1114,5.51526e+09
