n,time,FLOPs
2,316,3.79747e+08
3,284,1.33099e+09
4,4050,2.13333e+08
5,6133,2.69036e+08
6,8020,3.50125e+08
7,981,4.49541e+09
8,1089,5.99449e+09
9,1794,5.14716e+09
10,1994,6.31896e+09
11,2708,6.16617e+09
12,2404,8.98502e+09
13,3302,8.29134e+09
14,3731,9.14071e+09
15,4838,8.65027e+09
16,4349,1.16551e+10
17,5725,1.06009e+10
18,6230,1.15454e+10
19,7772,1.0869e+10
20,7101,1.38572e+10
21,9463,1.20235e+10
22,9587,1.3631e+10
23,11681,1.2771e+10
24,17998,9.40905e+09
25,13503,1.41635e+10
26,15351,1.40035e+10
27,18871,1.27481e+10
28,16068,1.66871e+10
29,21323,1.39621e+10
30,21237,1.55107e+10
31,26887,1.35105e+10
32,20357,1.96178e+10
33,24874,1.75998e+10
34,26094,1.83408e+10
35,30906,1.68851e+10
36,29100,1.95068e+10
37,32696,1.88418e+10
38,36004,1.85293e+10
39,40242,1.79155e+10
40,37777,2.0584e+10
41,44288,1.89021e+10
42,45629,1.97164e+10
43,50853,1.89798e+10
44,43355,2.38456e+10
45,56179,1.96808e+10
46,57919,2.03858e+10
47,65632,1.91847e+10
48,59078,2.26976e+10
49,69330,2.05711e+10
50,69831,2.16952e+10
51,80678,1.99239e+10
52,75013,2.27097e+10
53,94204,1.91433e+10
54,85311,2.23543e+10
55,96994,2.07709e+10
56,81976,2.5937e+10
57,101427,2.21027e+10
58,101859,2.31843e+10
59,118183,2.10304e+10
60,99281,2.63253e+10
61,122618,2.23956e+10
62,121532,2.37221e+10
63,150678,2.00718e+10
64,128873,2.46002e+10
65,146608,2.26512e+10
66,144685,2.40252e+10
67,171310,2.12252e+10
68,232391,1.63557e+10
69,312600,1.27021e+10
70,173335,2.39155e+10
71,195782,2.20918e+10
72,211858,2.12882e+10
73,213971,2.19664e+10
74,231713,2.11276e+10
75,420090,1.21313e+10
76,192164,2.75929e+10
77,295540,1.86573e+10
78,305702,1.87474e+10
79,318271,1.87071e+10
80,274355,2.25343e+10
81,364476,1.76052e+10
82,352080,1.8907e+10
83,393769,1.753e+10
84,359470,1.99037e+10
85,438623,1.69003e+10
86,405216,1.89456e+10
87,456735,1.74006e+10
88,415514,1.97927e+10
89,475445,1.7893e+10
90,464792,1.89259e+10
91,526442,1.72717e+10
92,470587,1.99645e+10
93,662870,1.46396e+10
94,652317,1.53607e+10
95,687771,1.50379e+10
96,558447,1.91104e+10
97,734976,1.49781e+10
98,682359,1.66363e+10
99,781657,1.49713e+10
100,619565,1.94653e+10
101,825298,1.50549e+10
102,772409,1.65675e+10
103,915917,1.4386e+10
104,690923,1.96306e+10
105,928412,1.50339e+10
106,854109,1.68124e+10
107,1.03112e+06,1.43234e+10
108,771072,1.96953e+10
109,1.02546e+06,1.5224e+10
110,948699,1.69122e+10
111,1.07498e+06,1.53357e+10
112,864099,1.95978e+10
113,1.14423e+06,1.51992e+10
114,1.06624e+06,1.67472e+10
115,1.0872e+06,1.68597e+10
116,987073,1.90578e+10
117,1.10837e+06,1.74143e+10
118,1.04788e+06,1.88952e+10
119,1.15514e+06,1.75795e+10
120,1.11634e+06,1.86523e+10
121,1.24302e+06,1.71732e+10
122,1.192e+06,1.83552e+10
123,1.31624e+06,1.70342e+10
124,1.21578e+06,1.88947e+10
125,1.35961e+06,1.73073e+10
126,1.31046e+06,1.83904e+10
127,1.41975e+06,1.73815e+10
128,1.54641e+06,1.63373e+10
129,1.4312e+06,1.80689e+10
130,1.37363e+06,1.92667e+10
131,1.55619e+06,1.74015e+10
132,1.69167e+06,1.63768e+10
133,1.5837e+06,1.78934e+10
134,1.52519e+06,1.90016e+10
135,1.6733e+06,1.77099e+10
136,1.82016e+06,1.66449e+10
137,1.69876e+06,1.82303e+10
138,1.69613e+06,1.86607e+10
139,1.79817e+06,1.79868e+10
140,2.00921e+06,1.64471e+10
141,1.84952e+06,1.82522e+10
142,1.81805e+06,1.89656e+10
143,1.95616e+06,1.80012e+10
144,2.14735e+06,1.67445e+10
145,2.05767e+06,1.78404e+10
146,1.97695e+06,1.89552e+10
147,2.13908e+06,1.78806e+10
148,1.99897e+06,1.95266e+10
149,2.20381e+06,1.80726e+10
