n,time,FLOPs
2,243,4.93827e+08
3,244,1.54918e+09
4,410,2.10732e+09
5,487,3.38809e+09
6,770,3.64675e+09
7,1004,4.39243e+09
8,1151,5.67159e+09
9,1607,5.74611e+09
10,1964,6.41548e+09
11,3083,5.41615e+09
12,2903,7.44058e+09
13,3446,7.94486e+09
14,3890,8.7671e+09
15,4820,8.68257e+09
16,5431,9.33309e+09
17,6312,9.61502e+09
18,7046,1.02083e+10
19,8310,1.01653e+10
20,10669,9.22298e+09
21,10920,1.04192e+10
22,11728,1.11426e+10
23,14259,1.0462e+10
24,16150,1.04857e+10
25,16508,1.15853e+10
26,19988,1.07549e+10
27,28753,8.36678e+09
28,22248,1.20518e+10
29,24069,1.23692e+10
30,26306,1.25219e+10
31,29341,1.23806e+10
32,33116,1.20594e+10
33,34474,1.26988e+10
34,36309,1.31809e+10
35,39897,1.30799e+10
36,42329,1.34104e+10
37,46522,1.32421e+10
38,50291,1.32654e+10
39,53980,1.33559e+10
40,56533,1.37548e+10
41,71910,1.16415e+10
42,65743,1.36842e+10
43,75688,1.27521e+10
44,74623,1.3854e+10
45,82198,1.34511e+10
46,84579,1.39601e+10
47,91032,1.38317e+10
48,97558,1.37449e+10
49,102417,1.39254e+10
50,110882,1.36632e+10
51,115152,1.39591e+10
52,134233,1.26908e+10
53,186395,9.67503e+09
54,209965,9.08277e+09
55,144165,1.39746e+10
56,167296,1.27093e+10
57,175206,1.27953e+10
58,167477,1.41006e+10
59,207550,1.19751e+10
60,212452,1.23021e+10
61,215219,1.27596e+10
62,280916,1.02629e+10
63,233522,1.29511e+10
64,238899,1.32705e+10
65,251965,1.31798e+10
66,260091,1.33649e+10
67,271959,1.337e+10
68,303547,1.25217e+10
69,305996,1.29762e+10
70,302506,1.37035e+10
71,317815,1.36091e+10
72,326107,1.38301e+10
73,364041,1.29111e+10
74,355046,1.37885e+10
75,384026,1.32706e+10
76,380359,1.39404e+10
77,427480,1.28988e+10
78,416762,1.37516e+10
79,446139,1.33454e+10
80,470741,1.31333e+10
81,489405,1.31111e+10
82,489829,1.359e+10
83,546778,1.26245e+10
84,543640,1.31609e+10
85,561431,1.32035e+10
86,571976,1.3422e+10
87,607890,1.30738e+10
88,550677,1.49346e+10
89,633546,1.34278e+10
90,594958,1.47852e+10
91,660100,1.37745e+10
