n,time,FLOPs
2,712,1.96629e+08
3,1270,4.25197e+08
4,2777,4.75333e+08
5,4814,5.40091e+08
6,7812,5.76037e+08
7,12955,5.51139e+08
8,18893,5.63172e+08
9,25987,5.81829e+08
10,34442,6.0101e+08
11,53109,5.17803e+08
12,54446,6.54594e+08
13,67301,6.72204e+08
14,79307,7.11413e+08
15,93079,7.44529e+08
16,110849,7.57788e+08
17,130751,7.69707e+08
18,152743,7.81312e+08
19,177453,7.90181e+08
20,202763,8.05867e+08
21,231478,8.16492e+08
22,268810,8.07782e+08
23,353882,7.00629e+08
24,390412,7.21084e+08
25,424764,7.48651e+08
26,481520,7.42441e+08
27,476062,8.40521e+08
28,521252,8.55709e+08
29,572482,8.65215e+08
30,635058,8.63071e+08
31,694579,8.70311e+08
32,763875,8.7009e+08
33,835297,8.72312e+08
34,932303,8.54465e+08
35,991621,8.7604e+08
36,1.06245e+06,8.89451e+08
37,1.16167e+06,8.82901e+08
38,1.24163e+06,8.94582e+08
39,1.34486e+06,8.926e+08
40,1.44125e+06,8.98389e+08
41,1.54564e+06,9.01891e+08
42,1.66231e+06,9.01241e+08
43,1.7795e+06,9.03255e+08
44,1.89316e+06,9.0944e+08
45,2.0223e+06,9.10546e+08
46,2.16151e+06,9.09781e+08
47,2.31562e+06,9.0565e+08
48,2.43801e+06,9.16092e+08
49,2.58695e+06,9.18269e+08
50,2.76364e+06,9.13106e+08
51,2.91265e+06,9.19266e+08
52,3.07612e+06,9.22475e+08
53,3.33468e+06,9.00848e+08
54,3.55077e+06,8.94684e+08
55,3.71652e+06,9.03021e+08
56,3.9288e+06,9.01548e+08
57,4.146e+06,9.00781e+08
58,4.34477e+06,9.05489e+08
59,4.56046e+06,9.07939e+08
60,4.78511e+06,9.09947e+08
61,5.00212e+06,9.14612e+08
62,5.26323e+06,9.12583e+08
63,5.55141e+06,9.07651e+08
64,5.66502e+06,9.32374e+08
65,5.91148e+06,9.35942e+08
66,6.10717e+06,9.48312e+08
67,6.40511e+06,9.45829e+08
68,6.75563e+06,9.37417e+08
69,7.04408e+06,9.39189e+08
70,7.37478e+06,9.36557e+08
71,7.67392e+06,9.3909e+08
72,8.01383e+06,9.37709e+08
73,8.33618e+06,9.39452e+08
74,8.55798e+06,9.53147e+08
75,8.96552e+06,9.47128e+08
76,9.22732e+06,9.57482e+08
77,9.56426e+06,9.60623e+08
78,9.95208e+06,9.59553e+08
79,1.03536e+07,9.58197e+08
80,1.09704e+07,9.39035e+08
81,1.13116e+07,9.45228e+08
82,1.20931e+07,9.17227e+08
83,1.21821e+07,9.44186e+08
84,1.2607e+07,9.45677e+08
85,1.30476e+07,9.46706e+08
86,1.35059e+07,9.47176e+08
87,1.37435e+07,9.63596e+08
88,1.42496e+07,9.6173e+08
89,1.46526e+07,9.67469e+08
90,1.51842e+07,9.65365e+08
91,1.56847e+07,9.66003e+08
92,1.61974e+07,9.66555e+08
93,1.66744e+07,9.698e+08
94,1.72643e+07,9.67156e+08
95,1.77238e+07,9.72414e+08
96,1.8319e+07,9.70795e+08
97,1.9238e+07,9.53565e+08
98,1.95932e+07,9.65485e+08
99,2.01584e+07,9.6739e+08
100,2.05975e+07,9.75699e+08
101,2.1324e+07,9.70972e+08
102,2.21404e+07,9.63178e+08
103,2.25551e+07,9.73506e+08
104,2.30918e+07,9.78802e+08
105,2.42767e+07,9.58106e+08
106,2.49034e+07,9.60892e+08
107,2.53912e+07,9.69317e+08
108,2.64393e+07,9.57197e+08
109,2.80233e+07,9.28375e+08
110,2.73288e+07,9.78372e+08
111,2.80308e+07,9.80084e+08
112,2.90412e+07,9.71745e+08
113,2.98272e+07,9.71673e+08
114,3.03323e+07,9.81047e+08
115,3.10962e+07,9.82315e+08
116,3.24536e+07,9.65963e+08
117,3.33414e+07,9.64736e+08
118,3.37294e+07,9.78267e+08
119,3.46211e+07,9.77475e+08
120,3.53914e+07,9.80475e+08
121,3.62745e+07,9.80688e+08
122,3.71352e+07,9.81876e+08
123,3.87896e+07,9.63272e+08
124,3.90319e+07,9.808e+08
125,3.98053e+07,9.8517e+08
126,4.17141e+07,9.62804e+08
127,4.23729e+07,9.70553e+08
128,4.37721e+07,9.61869e+08
129,4.44871e+07,9.68737e+08
130,4.59575e+07,9.59693e+08
131,4.64872e+07,9.70795e+08
132,4.70312e+07,9.81682e+08
133,4.74422e+07,9.95435e+08
134,4.96819e+07,9.72137e+08
135,5.01799e+07,9.84172e+08
136,5.12559e+07,9.85058e+08
137,5.24169e+07,9.84618e+08
138,5.33248e+07,9.89178e+08
139,5.47319e+07,9.84826e+08
140,5.65445e+07,9.73956e+08
141,5.73495e+07,9.80985e+08
142,5.85303e+07,9.81768e+08
143,5.9927e+07,9.79263e+08
144,6.05776e+07,9.8919e+08
145,6.18044e+07,9.89871e+08
146,6.32168e+07,9.87894e+08
147,6.49322e+07,9.81673e+08
148,6.57317e+07,9.89635e+08
149,6.68024e+07,9.93625e+08
150,6.8359e+07,9.9066e+08
151,6.93805e+07,9.95704e+08
152,7.17601e+07,9.81919e+08
153,7.18211e+07,1.00056e+09
154,7.48124e+07,9.79488e+08
155,7.48987e+07,9.97523e+08
156,7.81332e+07,9.74835e+08
157,7.86788e+07,9.86792e+08
158,7.9836e+07,9.91172e+08
159,8.03071e+07,1.00417e+09
160,8.26361e+07,9.94374e+08
161,8.45381e+07,9.90323e+08
162,8.55316e+07,9.97153e+08
163,8.73094e+07,9.95033e+08
164,8.75407e+07,1.01076e+09
165,9.02479e+07,9.98469e+08
166,9.1451e+07,1.00334e+09
