n,time,FLOPs
2,230,5.21739e+08
3,412,9.17476e+08
4,4857,1.77888e+08
5,3373,4.89179e+08
6,848,3.31132e+09
7,1090,4.04587e+09
8,765,8.53333e+09
9,1287,7.17483e+09
10,2085,6.04317e+09
11,2620,6.37328e+09
12,4123,5.2389e+09
13,3281,8.34441e+09
14,3815,8.93945e+09
15,5106,8.19624e+09
16,3583,1.41468e+10
17,4519,1.343e+10
18,5911,1.21685e+10
19,7304,1.15654e+10
20,6304,1.56091e+10
21,8274,1.37513e+10
22,10065,1.29836e+10
23,11788,1.26551e+10
24,7771,2.17918e+10
25,9906,1.93065e+10
26,12162,1.76754e+10
27,14785,1.62712e+10
28,13070,2.05148e+10
29,27797,1.07103e+10
30,23428,1.40601e+10
31,24844,1.46216e+10
32,19568,2.04088e+10
33,22706,1.92803e+10
34,34694,1.37944e+10
35,36071,1.44673e+10
36,22676,2.5033e+10
37,27464,2.24312e+10
38,32359,2.06165e+10
39,37805,1.90703e+10
40,25915,3.00058e+10
41,29332,2.85401e+10
42,34891,2.57843e+10
43,41140,2.34608e+10
44,36229,2.85358e+10
45,43899,2.51862e+10
46,50411,2.3422e+10
47,57316,2.19682e+10
48,38532,3.48004e+10
49,44883,3.17758e+10
50,60180,2.51745e+10
51,61894,2.59705e+10
52,52442,3.24839e+10
53,64686,2.7879e+10
54,74889,2.54652e+10
55,141560,1.42318e+10
56,68565,3.10101e+10
57,94828,2.36408e+10
58,91713,2.57491e+10
59,114371,2.17313e+10
60,81505,3.20667e+10
61,129297,2.12387e+10
62,128019,2.25201e+10
63,132631,2.28029e+10
64,97984,3.23553e+10
65,155719,2.13259e+10
66,124096,2.80113e+10
67,135251,2.6884e+10
68,110657,3.43487e+10
69,134707,2.94764e+10
70,153347,2.70328e+10
71,157195,2.75147e+10
72,172946,2.6078e+10
73,128376,3.66126e+10
74,139771,3.50255e+10
75,183218,2.78152e+10
76,139441,3.80259e+10
77,201475,2.7368e+10
78,216406,2.64832e+10
79,297964,1.9982e+10
80,199418,3.10022e+10
81,200089,3.2069e+10
82,200165,3.32564e+10
83,259815,2.65681e+10
84,286420,2.498e+10
85,230848,3.21114e+10
86,250941,3.0593e+10
87,289014,2.74985e+10
88,231704,3.54941e+10
89,232811,3.6541e+10
90,267226,3.29182e+10
91,293330,3.09976e+10
92,310410,3.02666e+10
93,374150,2.59366e+10
94,311749,3.21413e+10
95,331619,3.11884e+10
96,321065,3.32398e+10
97,379723,2.89909e+10
98,379768,2.98917e+10
99,375120,3.11964e+10
100,392523,3.07243e+10
101,431945,2.87648e+10
102,442158,2.8942e+10
103,417288,3.15762e+10
104,411502,3.29604e+10
105,429491,3.24981e+10
106,589178,2.43723e+10
107,517264,2.85526e+10
108,564040,2.69246e+10
109,497416,3.13855e+10
110,523799,3.06312e+10
111,573628,2.8739e+10
112,665284,2.54544e+10
113,675327,2.57525e+10
114,634511,2.81422e+10
115,761567,2.40686e+10
116,564567,3.33202e+10
117,664270,2.90567e+10
118,654414,3.0256e+10
119,843869,2.4064e+10
120,824627,2.52507e+10
121,721766,2.95755e+10
122,710813,3.07809e+10
123,735123,3.04999e+10
124,711822,3.22718e+10
125,788471,2.98442e+10
126,767875,3.1385e+10
127,820419,3.0079e+10
128,811989,3.11139e+10
129,876273,2.95115e+10
130,858001,3.08454e+10
131,927954,2.91825e+10
132,808198,3.42789e+10
133,910050,3.11387e+10
134,980586,2.95548e+10
135,962854,3.07771e+10
136,968855,3.12704e+10
137,973671,3.18063e+10
138,987997,3.20357e+10
139,1.0831e+06,2.98617e+10
140,988460,3.34314e+10
141,1.17571e+06,2.87128e+10
142,1.09866e+06,3.13841e+10
143,1.16936e+06,3.01132e+10
144,1.15713e+06,3.10736e+10
145,1.14119e+06,3.2168e+10
146,1.23516e+06,3.0339e+10
147,1.26648e+06,3.02001e+10
148,1.12197e+06,3.47896e+10
149,1.31427e+06,3.03048e+10
150,1.32381e+06,3.06956e+10
151,1.34144e+06,3.09014e+10
152,1.3259e+06,3.18881e+10
153,1.37632e+06,3.13295e+10
154,1.34322e+06,3.27344e+10
155,1.485e+06,3.01891e+10
156,1.32651e+06,3.44535e+10
157,1.54363e+06,3.018e+10
158,1.51841e+06,3.12706e+10
159,1.55221e+06,3.11735e+10
160,1.56059e+06,3.15942e+10
161,1.5268e+06,3.2902e+10
162,1.5947e+06,3.20913e+10
163,1.60831e+06,3.24118e+10
164,1.5802e+06,3.35986e+10
165,1.65448e+06,3.26802e+10
166,1.67189e+06,3.29309e+10
167,1.81366e+06,3.09082e+10
168,1.74849e+06,3.26389e+10
169,1.74119e+06,3.33639e+10
170,1.76045e+06,3.35876e+10
171,1.94077e+06,3.10073e+10
172,1.82289e+06,3.35945e+10
173,1.94602e+06,3.20204e+10
174,1.93435e+06,3.27748e+10
175,2.08085e+06,3.09952e+10
176,1.99103e+06,3.29513e+10
177,1.99528e+06,3.34442e+10
178,2.11827e+06,3.20389e+10
179,2.18293e+06,3.16164e+10
180,1.94743e+06,3.60364e+10
181,2.20741e+06,3.23246e+10
182,2.14105e+06,3.38813e+10
183,2.32923e+06,3.16598e+10
184,2.2704e+06,3.30149e+10
185,2.26149e+06,3.36879e+10
186,2.33422e+06,3.31699e+10
187,2.38826e+06,3.29446e+10
188,2.40448e+06,3.32497e+10
189,2.45877e+06,3.30367e+10
190,2.42904e+06,3.39742e+10
191,2.63856e+06,3.17723e+10
192,2.56898e+06,3.31477e+10
193,2.57902e+06,3.35368e+10
194,2.65081e+06,3.31379e+10
195,2.72433e+06,3.27445e+10
196,2.66672e+06,3.39686e+10
197,2.77083e+06,3.31949e+10
198,2.79804e+06,3.33748e+10
199,2.89658e+06,3.273e+10
200,2.86727e+06,3.35651e+10
201,2.90203e+06,3.36626e+10
202,2.99948e+06,3.30569e+10
203,3.10627e+06,3.23965e+10
204,2.72624e+06,3.74603e+10
205,3.15763e+06,3.28201e+10
206,3.16415e+06,3.32337e+10
207,3.32723e+06,3.20669e+10
208,3.26246e+06,3.31794e+10
209,3.28644e+06,3.34143e+10
210,3.14869e+06,3.53788e+10
211,3.31311e+06,3.41052e+10
212,3.01302e+06,3.80374e+10
213,3.4948e+06,3.32596e+10
214,3.39895e+06,3.4681e+10
215,3.67007e+06,3.2571e+10
216,3.59079e+06,3.37564e+10
217,3.6161e+06,3.39875e+10
218,3.57476e+06,3.48577e+10
219,3.80374e+06,3.32119e+10
220,3.41647e+06,3.7485e+10
221,3.8905e+06,3.33683e+10
222,3.81381e+06,3.45031e+10
223,4.05753e+06,3.28705e+10
224,3.95117e+06,3.42112e+10
225,4.07852e+06,3.35885e+10
226,4.06295e+06,3.41684e+10
227,4.21242e+06,3.33951e+10
228,4.08458e+06,3.48971e+10
229,4.31275e+06,3.34873e+10
230,4.1771e+06,3.50294e+10
231,4.52536e+06,3.27569e+10
232,4.51631e+06,3.32503e+10
233,4.51234e+06,3.37115e+10
234,4.54076e+06,3.39334e+10
235,4.62162e+06,3.37687e+10
236,4.3327e+06,3.64819e+10
237,4.77213e+06,3.35451e+10
238,4.6156e+06,3.51233e+10
239,4.96546e+06,3.30616e+10
240,4.87067e+06,3.41295e+10
241,4.84968e+06,3.47072e+10
242,4.93893e+06,3.45057e+10
243,5.06282e+06,3.40801e+10
244,4.7091e+06,3.70938e+10
245,5.23472e+06,3.37809e+10
246,5.06033e+06,3.53745e+10
247,5.4473e+06,3.32636e+10
248,5.47602e+06,3.34924e+10
249,5.39779e+06,3.43902e+10
250,5.35679e+06,3.50723e+10
251,5.58983e+06,3.40148e+10
252,4.98348e+06,3.8611e+10
253,5.68085e+06,3.42757e+10
254,5.60911e+06,3.51271e+10
255,5.94211e+06,3.35515e+10
256,5.98543e+06,3.37018e+10
257,5.89387e+06,3.46278e+10
258,5.88391e+06,3.50926e+10
259,6.16199e+06,3.38998e+10
260,5.78396e+06,3.65351e+10
261,6.29626e+06,3.39509e+10
262,6.14703e+06,3.51761e+10
263,6.64505e+06,3.29136e+10
264,6.47377e+06,3.4171e+10
265,6.35849e+06,3.51871e+10
266,6.4466e+06,3.51003e+10
267,6.80607e+06,3.36226e+10
268,6.36436e+06,3.63614e+10
269,6.80975e+06,3.43648e+10
270,6.79146e+06,3.48428e+10
271,7.0573e+06,3.3904e+10
272,6.95126e+06,3.48034e+10
273,6.8848e+06,3.55282e+10
274,6.92962e+06,3.56875e+10
275,7.1922e+06,3.47622e+10
276,6.95128e+06,3.63605e+10
277,7.4271e+06,3.44021e+10
278,7.38897e+06,3.49552e+10
279,7.88184e+06,3.31241e+10
280,7.77817e+06,3.39276e+10
281,7.69808e+06,3.46489e+10
282,7.67487e+06,3.51259e+10
283,7.86189e+06,3.46561e+10
284,7.15883e+06,3.84643e+10
285,8.04208e+06,3.46026e+10
286,8.213e+06,3.42402e+10
287,8.29809e+06,3.42456e+10
288,8.44461e+06,3.40042e+10
289,8.41495e+06,3.44805e+10
290,8.40323e+06,3.48881e+10
291,8.72752e+06,3.39402e+10
292,7.91756e+06,3.77991e+10
293,8.72005e+06,3.46741e+10
294,8.57973e+06,3.56031e+10
295,9.13734e+06,3.37725e+10
296,9.18967e+06,3.39226e+10
297,9.09771e+06,3.46138e+10
298,9.0462e+06,3.51635e+10
299,9.34548e+06,3.4381e+10
300,8.88802e+06,3.65143e+10
301,9.34584e+06,3.50738e+10
302,9.51367e+06,3.47994e+10
303,9.6973e+06,3.44806e+10
304,9.85077e+06,3.42804e+10
305,9.68431e+06,3.52147e+10
306,9.7159e+06,3.54464e+10
307,1.00239e+07,3.46949e+10
308,9.67274e+06,3.63068e+10
309,1.01502e+07,3.49368e+10
310,1.02032e+07,3.50938e+10
311,1.05761e+07,3.41848e+10
312,1.06043e+07,3.44237e+10
313,1.03008e+07,3.57797e+10
314,1.02515e+07,3.62971e+10
315,1.06902e+07,3.5141e+10
316,1.02607e+07,3.69619e+10
317,1.08219e+07,3.53787e+10
318,1.07184e+07,3.6059e+10
319,1.12276e+07,3.47492e+10
320,1.11278e+07,3.53917e+10
321,1.12576e+07,3.53124e+10
322,1.11281e+07,3.60579e+10
323,1.16009e+07,3.49116e+10
324,1.06703e+07,3.83097e+10
325,1.16098e+07,3.55365e+10
326,1.13673e+07,3.66306e+10
327,1.20697e+07,3.4817e+10
328,1.22922e+07,3.45013e+10
329,1.23432e+07,3.46738e+10
330,1.20512e+07,3.58386e+10
331,1.2519e+07,3.48139e+10
332,1.20713e+07,3.64331e+10
333,1.27006e+07,3.49414e+10
334,1.24591e+07,3.59404e+10
335,1.32703e+07,3.40473e+10
336,1.29431e+07,3.52214e+10
337,1.26758e+07,3.62861e+10
338,1.29578e+07,3.58131e+10
339,1.35094e+07,3.46564e+10
340,1.19775e+07,3.94358e+10
341,1.34725e+07,3.53699e+10
342,1.31949e+07,3.64323e+10
343,1.37334e+07,3.53117e+10
344,1.41127e+07,3.46638e+10
345,1.36334e+07,3.61961e+10
346,1.35942e+07,3.66169e+10
347,1.40327e+07,3.57811e+10
348,1.31911e+07,3.83939e+10
349,1.46937e+07,3.47655e+10
350,1.40919e+07,3.65626e+10
351,1.50796e+07,3.44613e+10
352,1.49498e+07,3.50583e+10
353,1.49572e+07,3.53402e+10
354,1.49069e+07,3.57615e+10
355,1.5336e+07,3.50563e+10
356,1.53462e+07,3.53296e+10
357,1.52899e+07,3.57594e+10
358,1.51883e+07,3.63017e+10
359,1.55876e+07,3.5669e+10
360,1.59367e+07,3.51799e+10
361,1.57157e+07,3.59725e+10
362,1.57465e+07,3.62013e+10
363,1.61291e+07,3.56361e+10
364,1.55601e+07,3.7245e+10
365,1.6385e+07,3.56622e+10
366,1.65539e+07,3.55892e+10
367,1.96951e+07,3.01587e+10
368,1.96802e+07,3.04287e+10
369,1.76699e+07,3.41675e+10
370,1.80741e+07,3.36757e+10
371,1.81582e+07,3.3792e+10
372,1.76922e+07,3.49632e+10
373,1.77834e+07,3.5065e+10
374,1.75488e+07,3.58203e+10
375,1.82501e+07,3.47208e+10
376,1.85631e+07,3.44089e+10
377,1.81501e+07,3.54733e+10
378,1.82978e+07,3.54676e+10
379,1.86857e+07,3.50075e+10
380,1.67025e+07,3.94748e+10
381,1.89899e+07,3.49948e+10
382,1.91079e+07,3.5053e+10
383,2.02145e+07,3.3395e+10
384,2.09021e+07,3.255e+10
385,2.18012e+07,3.14518e+10
386,1.94818e+07,3.54712e+10
387,1.99989e+07,3.48232e+10
388,1.80293e+07,3.89276e+10
389,2.29233e+07,3.0854e+10
390,2.00978e+07,3.54636e+10
391,2.11451e+07,3.3967e+10
392,2.06807e+07,3.49968e+10
393,2.00594e+07,3.63575e+10
394,2.11763e+07,3.47033e+10
395,2.2561e+07,3.28219e+10
396,2.13267e+07,3.49857e+10
397,2.36787e+07,3.17498e+10
398,2.45768e+07,3.08213e+10
399,2.52872e+07,3.01816e+10
400,2.60379e+07,2.95323e+10
401,2.55294e+07,3.03469e+10
402,2.59552e+07,3.00729e+10
403,2.79418e+07,2.81437e+10
404,2.6594e+07,2.97905e+10
405,2.79e+07,2.86074e+10
406,2.97604e+07,2.70181e+10
407,2.70635e+07,2.99305e+10
408,2.86017e+07,2.853e+10
409,2.90992e+07,2.82488e+10
410,3.04891e+07,2.71593e+10
411,2.54898e+07,3.27241e+10
412,2.83389e+07,2.96495e+10
413,3.10588e+07,2.72504e+10
414,2.91182e+07,2.9278e+10
415,3.06626e+07,2.80052e+10
