n,time,FLOPs
2,205,5.85366e+08
3,274,1.37956e+09
4,347,2.48991e+09
5,534,3.08989e+09
6,620,4.52903e+09
7,889,4.96063e+09
8,891,7.3266e+09
9,1678,5.50298e+09
10,1931,6.52512e+09
11,2566,6.5074e+09
12,2456,8.79479e+09
13,3227,8.48404e+09
14,3744,9.10897e+09
15,4756,8.79941e+09
16,4508,1.1244e+10
17,5532,1.09707e+10
18,6270,1.14718e+10
19,7820,1.08023e+10
20,7617,1.29185e+10
21,8937,1.27311e+10
22,9893,1.32093e+10
23,12050,1.23799e+10
24,11337,1.49373e+10
25,12548,1.52415e+10
26,14339,1.49918e+10
27,17373,1.38473e+10
28,14294,1.87581e+10
29,18746,1.58815e+10
30,20048,1.64306e+10
31,23841,1.52367e+10
32,20033,1.99351e+10
33,25894,1.69065e+10
34,27412,1.74589e+10
35,32152,1.62307e+10
36,28647,1.98153e+10
37,34527,1.78426e+10
38,35299,1.88993e+10
39,41607,1.73277e+10
40,36916,2.1064e+10
41,43501,1.92441e+10
42,46935,1.91678e+10
43,55501,1.73903e+10
44,47925,2.15717e+10
45,58402,1.89317e+10
46,61309,1.92586e+10
47,68180,1.84677e+10
48,59265,2.2626e+10
49,68697,2.07606e+10
50,74749,2.02678e+10
51,85583,1.8782e+10
52,72747,2.3417e+10
53,88864,2.02937e+10
54,89443,2.13216e+10
55,103584,1.94494e+10
56,89233,2.38276e+10
57,132458,1.69247e+10
58,114740,2.05816e+10
59,124653,1.99388e+10
60,109725,2.38195e+10
61,155316,1.76807e+10
62,127434,2.26235e+10
63,148105,2.04205e+10
64,129719,2.44398e+10
65,148392,2.23789e+10
66,152057,2.28604e+10
67,172479,2.10813e+10
68,149504,2.54236e+10
69,171675,2.3129e+10
70,187134,2.2152e+10
71,200230,2.1601e+10
72,174795,2.58021e+10
73,264026,1.7802e+10
74,206846,2.36676e+10
75,232268,2.19412e+10
76,206904,2.56272e+10
77,230408,2.39313e+10
78,238293,2.40508e+10
79,288574,2.06322e+10
80,235402,2.62632e+10
81,264808,2.42314e+10
