n,time,FLOPs
2,570,2.10526e+08
3,872,4.33486e+08
4,1740,4.96552e+08
5,2962,5.57056e+08
6,4679,6.00128e+08
7,7404,5.95624e+08
8,11073,5.89542e+08
9,15036,6.14126e+08
10,19176,6.57071e+08
11,25044,6.66747e+08
12,32428,6.66091e+08
13,37658,7.27017e+08
14,45304,7.52781e+08
15,54705,7.65012e+08
16,65541,7.73378e+08
17,77650,7.81584e+08
18,90562,7.9424e+08
19,105538,8.00413e+08
20,121617,8.09097e+08
21,139577,8.15163e+08
22,161625,8.08538e+08
23,179959,8.28955e+08
24,211075,8.02293e+08
25,224797,8.50768e+08
26,256792,8.37129e+08
27,285975,8.41227e+08
28,312384,8.58328e+08
29,345247,8.62322e+08
30,382772,8.60565e+08
31,416074,8.73061e+08
32,454523,8.78635e+08
33,495741,8.83078e+08
34,541518,8.83782e+08
35,592814,8.80293e+08
36,653961,8.68015e+08
37,690148,8.92635e+08
38,730648,9.13063e+08
39,808450,8.91773e+08
40,873728,8.89979e+08
41,936464,8.93935e+08
42,1.00182e+06,8.98008e+08
43,1.06228e+06,9.08595e+08
44,1.13671e+06,9.09486e+08
45,1.23258e+06,8.9702e+08
46,1.2931e+06,9.13102e+08
47,1.38377e+06,9.09927e+08
48,1.46313e+06,9.16477e+08
49,1.56272e+06,9.12639e+08
50,1.65165e+06,9.17263e+08
51,1.73984e+06,9.2389e+08
52,1.87426e+06,9.08902e+08
53,1.98584e+06,9.0812e+08
54,2.05962e+06,9.2593e+08
55,2.17338e+06,9.26966e+08
56,2.28945e+06,9.28697e+08
57,2.40946e+06,9.30418e+08
58,2.53288e+06,9.32347e+08
59,2.6612e+06,9.33954e+08
60,2.79661e+06,9.34561e+08
61,2.93737e+06,9.34883e+08
62,3.07939e+06,9.36224e+08
63,3.23126e+06,9.35974e+08
64,3.38065e+06,9.3778e+08
65,3.54226e+06,9.37495e+08
66,3.66947e+06,9.47299e+08
67,3.86482e+06,9.40817e+08
68,4.03308e+06,9.42437e+08
69,4.21236e+06,9.42624e+08
70,4.38609e+06,9.45124e+08
71,4.57304e+06,9.45799e+08
72,4.76338e+06,9.46823e+08
73,4.96603e+06,9.46466e+08
74,5.17185e+06,9.46575e+08
75,5.36983e+06,9.49053e+08
76,5.59978e+06,9.46889e+08
77,5.86051e+06,9.40869e+08
78,6.03406e+06,9.49797e+08
79,6.25291e+06,9.52183e+08
80,6.39251e+06,9.67132e+08
81,6.66362e+06,9.62939e+08
82,6.99185e+06,9.52074e+08
83,7.27971e+06,9.48221e+08
84,7.79022e+06,9.18432e+08
85,7.73148e+06,9.58788e+08
86,8.00876e+06,9.58581e+08
87,8.32056e+06,9.55158e+08
88,8.54913e+06,9.61984e+08
89,8.9008e+06,9.55774e+08
90,9.13454e+06,9.63004e+08
91,9.48444e+06,9.58679e+08
92,9.66626e+06,9.71942e+08
93,1.00042e+07,9.70009e+08
94,1.02939e+07,9.73396e+08
95,1.05408e+07,9.81197e+08
96,1.09385e+07,9.75647e+08
97,1.12757e+07,9.76305e+08
98,1.17735e+07,9.64193e+08
99,1.19649e+07,9.78063e+08
100,1.26646e+07,9.52263e+08
101,1.30768e+07,9.50141e+08
102,1.3142e+07,9.73741e+08
103,1.3347e+07,9.87217e+08
104,1.36239e+07,9.95547e+08
105,1.43721e+07,9.71165e+08
106,1.4663e+07,9.79306e+08
107,1.55354e+07,9.50678e+08
108,1.56057e+07,9.73138e+08
109,1.60589e+07,9.72146e+08
110,1.65158e+07,9.71467e+08
111,1.69743e+07,9.71205e+08
112,1.81668e+07,9.32164e+08
113,1.83542e+07,9.47544e+08
114,1.85825e+07,9.60929e+08
115,1.94273e+07,9.43509e+08
116,1.94471e+07,9.67314e+08
117,1.98847e+07,9.70671e+08
118,2.04381e+07,9.68777e+08
119,2.08765e+07,9.72717e+08
120,2.13942e+07,9.73273e+08
121,2.19956e+07,9.70492e+08
122,2.26426e+07,9.66298e+08
123,2.30781e+07,9.71537e+08
124,2.35379e+07,9.75947e+08
