n,time,FLOPs
2,617,1.94489e+08
3,891,4.24242e+08
4,1770,4.88136e+08
5,2969,5.55743e+08
6,4765,5.89297e+08
7,7555,5.83719e+08
8,10876,6.00221e+08
9,15097,6.11645e+08
10,20355,6.19013e+08
11,24949,6.69285e+08
12,30488,7.08475e+08
13,36798,7.44008e+08
14,46504,7.33356e+08
15,56449,7.41377e+08
16,66039,7.67546e+08
17,77353,7.84585e+08
18,90379,7.95849e+08
19,104724,8.06635e+08
20,119958,8.20287e+08
21,139634,8.1483e+08
22,157874,8.27749e+08
23,177017,8.42733e+08
24,199688,8.48043e+08
25,225413,8.48443e+08
26,253855,8.46814e+08
27,280128,8.58786e+08
28,308081,8.70317e+08
29,343618,8.6641e+08
30,377260,8.73138e+08
31,411812,8.82097e+08
32,453991,8.79665e+08
33,486362,9.00107e+08
34,538001,8.8956e+08
35,585350,8.91518e+08
36,634628,8.94458e+08
37,706478,8.72002e+08
38,744067,8.96597e+08
39,802243,8.98673e+08
40,860717,9.03433e+08
41,913753,9.16153e+08
42,991497,9.07355e+08
43,1.06636e+06,9.0511e+08
44,1.13211e+06,9.13185e+08
45,1.21062e+06,9.1329e+08
46,1.29133e+06,9.1435e+08
47,1.36988e+06,9.1915e+08
48,1.46181e+06,9.17307e+08
49,1.55644e+06,9.16319e+08
50,1.64627e+06,9.20262e+08
51,1.73288e+06,9.276e+08
52,1.83942e+06,9.26119e+08
53,1.94666e+06,9.26398e+08
54,2.06174e+06,9.24977e+08
55,2.16568e+06,9.30263e+08
56,2.28248e+06,9.31536e+08
57,2.4036e+06,9.32689e+08
58,2.53064e+06,9.33173e+08
59,2.66244e+06,9.33518e+08
60,2.7971e+06,9.34395e+08
61,2.93515e+06,9.35591e+08
62,3.0749e+06,9.37593e+08
63,3.22814e+06,9.3688e+08
64,3.36599e+06,9.41864e+08
65,3.53594e+06,9.3917e+08
66,3.69205e+06,9.41507e+08
67,3.85799e+06,9.42484e+08
68,4.02771e+06,9.43695e+08
69,4.17002e+06,9.52196e+08
70,4.37703e+06,9.47081e+08
71,4.53136e+06,9.545e+08
72,4.66727e+06,9.6632e+08
73,4.88102e+06,9.62951e+08
74,5.15276e+06,9.50083e+08
75,5.27332e+06,9.66421e+08
76,5.43366e+06,9.75838e+08
77,5.70563e+06,9.66409e+08
78,5.92875e+06,9.66667e+08
79,6.1174e+06,9.73275e+08
80,6.41697e+06,9.63445e+08
81,6.62785e+06,9.68136e+08
82,6.86215e+06,9.70069e+08
83,7.10285e+06,9.71832e+08
84,7.3484e+06,9.73651e+08
85,7.62704e+06,9.71917e+08
86,7.89782e+06,9.72046e+08
87,8.18873e+06,9.70535e+08
88,8.45244e+06,9.72988e+08
89,8.67487e+06,9.80667e+08
90,9.16698e+06,9.59596e+08
91,9.47023e+06,9.60118e+08
92,9.66559e+06,9.72009e+08
93,1.01593e+07,9.55198e+08
94,1.08703e+07,9.21781e+08
95,1.08771e+07,9.50863e+08
96,1.13316e+07,9.41806e+08
97,1.15787e+07,9.50755e+08
98,1.2024e+07,9.44106e+08
99,1.21435e+07,9.63676e+08
100,1.24973e+07,9.6501e+08
101,1.28526e+07,9.66713e+08
102,1.30296e+07,9.82141e+08
103,1.36463e+07,9.65563e+08
104,1.40335e+07,9.66491e+08
105,1.446e+07,9.65259e+08
106,1.48276e+07,9.68439e+08
107,1.5297e+07,9.65494e+08
108,1.57571e+07,9.6379e+08
109,1.60699e+07,9.71485e+08
110,1.63137e+07,9.83506e+08
111,1.70222e+07,9.68471e+08
112,1.74075e+07,9.7282e+08
113,1.78396e+07,9.74875e+08
114,1.83731e+07,9.71886e+08
115,1.88028e+07,9.74845e+08
116,1.93427e+07,9.72535e+08
117,1.93887e+07,9.95501e+08
118,2.02173e+07,9.79354e+08
119,2.07495e+07,9.78669e+08
120,2.14524e+07,9.70633e+08
121,2.18547e+07,9.76748e+08
122,2.24198e+07,9.75899e+08
123,2.34076e+07,9.5786e+08
124,2.39672e+07,9.58467e+08
125,2.43658e+07,9.65751e+08
126,2.45431e+07,9.81935e+08
127,2.50706e+07,9.84313e+08
128,2.63465e+07,9.58918e+08
129,2.68217e+07,9.64148e+08
130,2.69926e+07,9.80468e+08
131,2.73563e+07,9.89903e+08
132,2.81427e+07,9.84417e+08
133,2.94576e+07,9.61985e+08
134,2.95137e+07,9.81951e+08
135,3.07758e+07,9.62893e+08
136,3.08884e+07,9.80836e+08
137,3.20268e+07,9.66968e+08
138,3.2694e+07,9.68103e+08
139,3.30109e+07,9.79779e+08
140,3.40607e+07,9.70196e+08
141,3.49442e+07,9.66051e+08
142,3.5564e+07,9.69533e+08
143,3.61729e+07,9.73468e+08
144,3.68305e+07,9.76261e+08
145,3.7427e+07,9.80833e+08
146,3.84256e+07,9.75223e+08
147,3.9124e+07,9.77608e+08
148,3.98538e+07,9.79403e+08
149,4.02889e+07,9.88574e+08
150,4.1007e+07,9.90928e+08
151,4.15473e+07,9.97713e+08
152,4.22256e+07,1.00129e+09
153,4.398e+07,9.80432e+08
154,4.4952e+07,9.78143e+08
155,4.51409e+07,9.93128e+08
156,4.58258e+07,9.9732e+08
157,4.63547e+07,1.005e+09
158,4.79611e+07,9.90001e+08
159,5.00402e+07,9.66978e+08
160,4.97541e+07,9.90985e+08
161,5.04784e+07,9.95177e+08
162,5.16188e+07,9.91417e+08
163,5.38853e+07,9.67396e+08
164,5.35163e+07,9.92085e+08
165,5.44696e+07,9.92642e+08
166,5.47841e+07,1.00498e+09
167,5.61072e+07,9.99103e+08
168,5.62755e+07,1.0141e+09
169,5.7307e+07,1.01372e+09
170,5.82912e+07,1.01438e+09
171,5.95712e+07,1.01019e+09
172,6.2675e+07,9.77085e+08
173,6.3501e+07,9.81279e+08
174,6.44727e+07,9.8333e+08
175,6.59038e+07,9.78642e+08
176,6.76492e+07,9.69814e+08
177,6.84038e+07,9.75542e+08
178,6.98222e+07,9.71999e+08
179,7.06121e+07,9.774e+08
180,7.22e+07,9.72e+08
181,7.25394e+07,9.8365e+08
182,7.31056e+07,9.92285e+08
183,7.35491e+07,1.00263e+09
184,7.50979e+07,9.98126e+08
185,7.79079e+07,9.77884e+08
186,7.76804e+07,9.96724e+08
187,7.89612e+07,9.96442e+08
188,8.05938e+07,9.91988e+08
189,8.27333e+07,9.81824e+08
190,8.41308e+07,9.80908e+08
191,8.43656e+07,9.93691e+08
192,8.5993e+07,9.90265e+08
193,8.81064e+07,9.81679e+08
194,8.54734e+07,1.02772e+09
195,8.82523e+07,1.01081e+09
196,8.93885e+07,1.01338e+09
197,9.05457e+07,1.01581e+09
198,9.11264e+07,1.02477e+09
199,9.21785e+07,1.02849e+09
200,9.74976e+07,9.87102e+08
201,9.72577e+07,1.00444e+09
202,9.94824e+07,9.96697e+08
203,1.0091e+08,9.97252e+08
204,1.00834e+08,1.01281e+09
205,1.0148e+08,1.02122e+09
206,1.03503e+08,1.01597e+09
207,1.05396e+08,1.01232e+09
208,1.05288e+08,1.02809e+09
209,1.08642e+08,1.01079e+09
210,1.08688e+08,1.02492e+09
211,1.11204e+08,1.0161e+09
212,1.12525e+08,1.0185e+09
213,1.1564e+08,1.00515e+09
214,1.14837e+08,1.02649e+09
215,1.16418e+08,1.0268e+09
216,1.18961e+08,1.01893e+09
217,1.23714e+08,9.93441e+08
218,1.24588e+08,1.00016e+09
219,1.24544e+08,1.01433e+09
220,1.2811e+08,9.99661e+08
221,1.26825e+08,1.02361e+09
222,1.27451e+08,1.03246e+09
223,1.29965e+08,1.02622e+09
224,1.33531e+08,1.01231e+09
225,1.3427e+08,1.02027e+09
226,1.34326e+08,1.03349e+09
