n,time,FLOPs
2,703,1.70697e+08
3,895,4.22346e+08
4,1739,4.96837e+08
5,3022,5.45996e+08
6,4979,5.63969e+08
7,7682,5.74069e+08
8,11238,5.80886e+08
9,16416,5.625e+08
10,21395,5.88923e+08
11,25428,6.56678e+08
12,30846,7.00253e+08
13,37163,7.367e+08
14,45805,7.44548e+08
15,55124,7.59197e+08
16,65969,7.68361e+08
17,77912,7.78956e+08
18,90518,7.94626e+08
19,104832,8.05804e+08
20,121026,8.13048e+08
21,138306,8.22654e+08
22,156344,8.35849e+08
23,176985,8.42885e+08
24,200317,8.4538e+08
25,223868,8.54298e+08
26,252437,8.51571e+08
27,280840,8.56609e+08
28,308779,8.68349e+08
29,347140,8.57619e+08
30,377367,8.7289e+08
31,414976,8.75371e+08
32,455521,8.7671e+08
33,495987,8.8264e+08
34,539583,8.86952e+08
35,583911,8.93715e+08
36,635709,8.92937e+08
37,687778,8.95711e+08
38,743503,8.97277e+08
39,800414,9.00726e+08
40,851367,9.13355e+08
41,922425,9.0754e+08
42,991472,9.07378e+08
43,1.0702e+06,9.01868e+08
44,1.13418e+06,9.11517e+08
45,1.20812e+06,9.15185e+08
46,1.28187e+06,9.21096e+08
47,1.37031e+06,9.18866e+08
48,1.45537e+06,9.21364e+08
49,1.55108e+06,9.19484e+08
50,1.63323e+06,9.2761e+08
51,1.73539e+06,9.26255e+08
52,1.83338e+06,9.29169e+08
53,1.95083e+06,9.24417e+08
54,2.05344e+06,9.28714e+08
55,2.22791e+06,9.04277e+08
56,2.33902e+06,9.09015e+08
57,2.47815e+06,9.04631e+08
58,2.58728e+06,9.12745e+08
59,2.71518e+06,9.15386e+08
60,2.86243e+06,9.13071e+08
61,3.00928e+06,9.12542e+08
62,3.1329e+06,9.20233e+08
63,3.2863e+06,9.203e+08
64,3.42041e+06,9.26877e+08
65,3.60083e+06,9.22245e+08
66,3.68823e+06,9.4248e+08
67,3.85673e+06,9.4279e+08
68,4.06942e+06,9.34023e+08
69,4.27532e+06,9.28744e+08
70,4.47256e+06,9.26852e+08
71,4.66483e+06,9.2719e+08
72,5.00096e+06,9.01844e+08
73,5.05496e+06,9.29815e+08
74,5.26097e+06,9.30539e+08
75,5.47576e+06,9.30693e+08
76,5.66923e+06,9.35289e+08
77,5.87843e+06,9.38e+08
78,6.14097e+06,9.33261e+08
79,6.34303e+06,9.38654e+08
80,6.48176e+06,9.53815e+08
81,6.91136e+06,9.28422e+08
82,7.03775e+06,9.45865e+08
83,7.38082e+06,9.35231e+08
84,7.42909e+06,9.63076e+08
85,7.66262e+06,9.67405e+08
86,7.9467e+06,9.66067e+08
87,8.19662e+06,9.69601e+08
88,8.47523e+06,9.70373e+08
89,8.76478e+06,9.70607e+08
90,9.08649e+06,9.68096e+08
91,9.31126e+06,9.76509e+08
92,9.93326e+06,9.45816e+08
93,1.00827e+07,9.62459e+08
94,1.07843e+07,9.29129e+08
95,1.09533e+07,9.44248e+08
96,1.1293e+07,9.45023e+08
97,1.16471e+07,9.45172e+08
98,1.20436e+07,9.42569e+08
99,1.23015e+07,9.51298e+08
100,1.28267e+07,9.40226e+08
101,1.31946e+07,9.41661e+08
102,1.35054e+07,9.47542e+08
103,1.36555e+07,9.64911e+08
104,1.4096e+07,9.6221e+08
105,1.47086e+07,9.48945e+08
106,1.50856e+07,9.51877e+08
107,1.5477e+07,9.5427e+08
108,1.59351e+07,9.53026e+08
109,1.6381e+07,9.53031e+08
110,1.66538e+07,9.63422e+08
111,1.79194e+07,9.1998e+08
112,1.78649e+07,9.47916e+08
113,1.82554e+07,9.52669e+08
114,1.84045e+07,9.70224e+08
115,1.89693e+07,9.6629e+08
116,1.98594e+07,9.47235e+08
117,2.00172e+07,9.64247e+08
118,2.0574e+07,9.62378e+08
119,2.155e+07,9.42314e+08
120,2.17265e+07,9.58385e+08
121,2.24492e+07,9.50883e+08
122,2.26394e+07,9.66433e+08
123,2.34141e+07,9.57593e+08
124,2.42614e+07,9.46844e+08
125,2.43876e+07,9.64887e+08
126,2.48947e+07,9.68068e+08
127,2.55097e+07,9.67373e+08
128,2.62247e+07,9.6337e+08
129,2.70984e+07,9.54303e+08
130,2.78082e+07,9.51713e+08
131,2.79341e+07,9.69428e+08
132,2.83089e+07,9.78638e+08
133,2.92783e+07,9.67876e+08
134,2.96302e+07,9.78089e+08
135,3.02058e+07,9.81066e+08
136,3.13673e+07,9.65861e+08
137,3.23396e+07,9.57615e+08
138,3.26209e+07,9.70272e+08
139,3.37205e+07,9.59161e+08
140,3.4306e+07,9.63259e+08
141,3.51405e+07,9.60655e+08
142,3.57734e+07,9.63858e+08
143,3.67768e+07,9.57482e+08
144,3.65673e+07,9.83289e+08
145,3.77261e+07,9.73057e+08
146,3.82017e+07,9.80939e+08
147,3.88042e+07,9.85665e+08
148,4.00535e+07,9.74519e+08
149,4.07751e+07,9.76787e+08
150,4.24576e+07,9.57072e+08
151,4.27994e+07,9.68523e+08
152,4.30157e+07,9.82903e+08
153,4.55721e+07,9.46179e+08
154,4.53528e+07,9.69499e+08
155,4.58473e+07,9.77825e+08
156,4.67805e+07,9.76968e+08
157,4.79258e+07,9.72057e+08
158,4.96321e+07,9.56669e+08
159,5.03583e+07,9.60872e+08
160,5.11761e+07,9.63451e+08
161,5.12648e+07,9.79909e+08
162,5.17919e+07,9.88104e+08
163,5.31719e+07,9.80375e+08
164,5.4711e+07,9.70422e+08
165,5.69344e+07,9.49669e+08
166,5.70183e+07,9.65601e+08
167,5.72806e+07,9.78636e+08
168,5.88316e+07,9.70038e+08
169,5.85252e+07,9.92617e+08
170,6.11085e+07,9.67613e+08
171,6.08637e+07,9.88733e+08
172,6.0881e+07,1.00588e+09
173,6.46031e+07,9.64538e+08
174,6.6182e+07,9.57933e+08
175,6.71917e+07,9.59885e+08
176,6.53596e+07,1.00379e+09
177,6.79752e+07,9.81693e+08
178,6.71771e+07,1.01027e+09
179,6.75867e+07,1.02115e+09
180,6.92131e+07,1.01395e+09
181,7.1355e+07,9.99978e+08
182,7.46084e+07,9.72297e+08
183,7.58786e+07,9.71852e+08
184,7.54474e+07,9.93503e+08
185,7.92503e+07,9.61319e+08
186,7.68255e+07,1.00781e+09
187,7.99816e+07,9.83729e+08
188,8.18377e+07,9.7691e+08
189,8.32667e+07,9.75535e+08
190,8.42824e+07,9.79144e+08
191,8.62937e+07,9.71489e+08
192,8.84351e+07,9.62919e+08
193,8.87017e+07,9.75091e+08
194,8.9881e+07,9.7732e+08
195,9.18772e+07,9.70933e+08
196,9.18539e+07,9.86185e+08
197,9.23209e+07,9.96279e+08
198,9.46394e+07,9.86735e+08
199,9.58843e+07,9.88742e+08
200,9.45927e+07,1.01741e+09
201,9.60784e+07,1.01677e+09
202,9.72562e+07,1.01951e+09
203,1.00542e+08,1.0009e+09
204,1.00476e+08,1.01642e+09
205,1.02057e+08,1.01544e+09
206,1.02942e+08,1.02151e+09
207,1.05008e+08,1.01606e+09
208,1.07443e+08,1.00748e+09
209,1.08956e+08,1.00787e+09
210,1.10823e+08,1.00518e+09
211,1.11379e+08,1.0145e+09
212,1.13207e+08,1.01237e+09
213,1.1419e+08,1.01791e+09
214,1.15552e+08,1.02014e+09
215,1.16931e+08,1.02229e+09
216,1.17839e+08,1.02863e+09
217,1.18839e+08,1.03419e+09
218,1.22382e+08,1.01819e+09
219,1.27779e+08,9.88656e+08
220,1.27089e+08,1.00769e+09
221,1.29511e+08,1.00238e+09
222,1.32428e+08,9.93663e+08
223,1.30901e+08,1.01889e+09
224,1.38543e+08,9.75683e+08
225,1.363e+08,1.00507e+09
226,1.36635e+08,1.01603e+09
227,1.37668e+08,1.02183e+09
228,1.39046e+08,1.02513e+09
229,1.43481e+08,1.00656e+09
230,1.43409e+08,1.02031e+09
231,1.47967e+08,1.00182e+09
232,1.52075e+08,9.87466e+08
233,1.50616e+08,1.00997e+09
234,1.51604e+08,1.01636e+09
235,1.535e+08,1.01671e+09
236,1.57389e+08,1.0043e+09
237,1.57215e+08,1.01823e+09
238,1.59401e+08,1.01702e+09
239,1.60565e+08,1.02243e+09
240,1.6421e+08,1.01232e+09
241,1.66709e+08,1.00965e+09
242,1.69429e+08,1.00585e+09
