n,time,FLOPs
2,160,7.5e+08
3,287,1.31707e+09
4,4456,1.93896e+08
5,5742,2.87356e+08
6,7615,3.68746e+08
7,881,5.00568e+09
8,1284,5.08411e+09
9,1612,5.72829e+09
10,2505,5.02994e+09
11,3037,5.49819e+09
12,3925,5.50318e+09
13,4545,6.02376e+09
14,5523,6.1749e+09
15,6534,6.40496e+09
16,7901,6.41539e+09
17,9467,6.41069e+09
18,10592,6.79079e+09
19,12881,6.55803e+09
20,14224,6.91789e+09
21,16426,6.9267e+09
22,18406,7.09986e+09
23,20852,7.15413e+09
24,23614,7.17134e+09
25,26567,7.19878e+09
26,29462,7.29645e+09
27,32834,7.32686e+09
28,36229,7.40092e+09
29,39948,7.45254e+09
30,48660,6.76942e+09
31,52924,6.86377e+09
32,54073,7.38557e+09
33,57818,7.57166e+09
34,63742,7.50814e+09
35,68810,7.58393e+09
36,75492,7.51931e+09
37,81388,7.5693e+09
38,88596,7.53e+09
39,95167,7.57567e+09
40,104058,7.47276e+09
41,110133,7.60115e+09
42,119541,7.52579e+09
43,126723,7.61644e+09
44,137878,7.49811e+09
45,147191,7.51167e+09
46,159957,7.38153e+09
47,166035,7.58352e+09
48,181925,7.37077e+09
49,188206,7.57783e+09
50,203533,7.44351e+09
51,214083,7.50839e+09
52,231214,7.36772e+09
53,242561,7.43474e+09
54,264776,7.20256e+09
55,269679,7.47055e+09
56,290668,7.3149e+09
57,300148,7.46902e+09
58,321518,7.34493e+09
59,336602,7.3839e+09
60,357117,7.31861e+09
61,371659,7.38876e+09
62,393307,7.33015e+09
63,406910,7.43255e+09
64,434657,7.29381e+09
65,450311,7.37457e+09
66,474904,7.31956e+09
67,494355,7.35522e+09
68,739712,5.13839e+09
69,877224,4.52641e+09
70,750815,5.5212e+09
71,591543,7.31169e+09
72,625903,7.20572e+09
73,662762,7.0918e+09
74,679399,7.2057e+09
75,831310,6.13038e+09
76,930267,5.69983e+09
77,788796,6.99036e+09
78,811862,7.05924e+09
79,851283,6.99405e+09
80,911528,6.78246e+09
81,918110,6.98899e+09
82,960369,6.93146e+09
83,992522,6.95479e+09
84,1.04329e+06,6.85792e+09
85,1.12894e+06,6.56622e+09
86,1.26373e+06,6.07492e+09
87,1.21187e+06,6.55798e+09
88,1.34269e+06,6.12513e+09
89,1.39851e+06,6.08303e+09
90,1.3174e+06,6.67722e+09
91,1.49254e+06,6.09197e+09
92,1.38695e+06,6.77389e+09
93,1.52819e+06,6.3501e+09
94,1.64091e+06,6.10637e+09
95,1.59128e+06,6.49956e+09
96,1.70995e+06,6.24119e+09
97,1.68714e+06,6.52496e+09
98,1.7111e+06,6.6343e+09
99,1.82646e+06,6.40716e+09
100,1.81591e+06,6.64131e+09
101,1.90492e+06,6.52248e+09
102,2.0075e+06,6.37456e+09
103,2.01577e+06,6.53663e+09
104,2.0324e+06,6.67352e+09
105,2.16427e+06,6.44912e+09
106,2.17056e+06,6.61561e+09
107,2.30943e+06,6.39518e+09
108,2.30794e+06,6.58012e+09
109,2.41646e+06,6.46053e+09
110,2.46104e+06,6.51944e+09
111,2.54604e+06,6.47495e+09
112,2.65299e+06,6.38314e+09
113,2.69373e+06,6.45624e+09
114,2.78476e+06,6.41222e+09
115,2.92559e+06,6.26536e+09
116,2.85816e+06,6.58169e+09
117,2.96398e+06,6.51202e+09
118,3.09092e+06,6.40583e+09
119,3.13181e+06,6.48408e+09
120,3.16197e+06,6.58527e+09
121,3.28096e+06,6.5062e+09
122,3.3184e+06,6.59338e+09
123,3.44702e+06,6.50451e+09
124,3.49606e+06,6.57076e+09
125,3.62251e+06,6.49584e+09
126,3.65905e+06,6.58635e+09
127,3.79502e+06,6.50256e+09
128,5.86548e+06,4.30726e+09
129,3.91127e+06,6.61169e+09
130,3.94102e+06,6.71536e+09
131,4.09194e+06,6.61791e+09
132,4.15905e+06,6.66118e+09
133,4.362e+06,6.49652e+09
134,4.33507e+06,6.68524e+09
135,4.48518e+06,6.60705e+09
136,4.5925e+06,6.59694e+09
137,4.69084e+06,6.60199e+09
138,5.03381e+06,6.28771e+09
139,5.22748e+06,6.18718e+09
140,5.25298e+06,6.29083e+09
141,5.44995e+06,6.19418e+09
142,5.49161e+06,6.27875e+09
143,5.67904e+06,6.20056e+09
144,5.86826e+06,6.12724e+09
145,5.97494e+06,6.14394e+09
146,6.01423e+06,6.23081e+09
147,6.14831e+06,6.22089e+09
148,6.27092e+06,6.22443e+09
149,6.49534e+06,6.13187e+09
150,6.56716e+06,6.18761e+09
151,6.76684e+06,6.12578e+09
152,6.87284e+06,6.15179e+09
153,7.03826e+06,6.12642e+09
154,7.19454e+06,6.1115e+09
155,7.38645e+06,6.06931e+09
156,7.56898e+06,6.0382e+09
157,7.79214e+06,5.97867e+09
158,7.90206e+06,6.00875e+09
159,8.10487e+06,5.97022e+09
160,8.52126e+06,5.78619e+09
161,8.40345e+06,5.97789e+09
162,8.4874e+06,6.02962e+09
163,8.69224e+06,5.99712e+09
164,8.75492e+06,6.06433e+09
165,8.99067e+06,6.01389e+09
166,9.07437e+06,6.0673e+09
167,9.31963e+06,6.01493e+09
168,9.39962e+06,6.07141e+09
169,9.6416e+06,6.02525e+09
170,9.73904e+06,6.07138e+09
171,9.99106e+06,6.02318e+09
172,1.00689e+07,6.08199e+09
173,1.0326e+07,6.03449e+09
174,1.0437e+07,6.07432e+09
175,1.06846e+07,6.0364e+09
