n,time,FLOPs
2,243,4.93827e+08
3,242,1.56198e+09
4,393,2.19847e+09
5,490,3.36735e+09
6,712,3.94382e+09
7,994,4.43662e+09
8,1494,4.36948e+09
9,1747,5.28563e+09
10,2403,5.24345e+09
11,2893,5.77186e+09
12,3661,5.90003e+09
13,4461,6.13719e+09
14,5151,6.62085e+09
15,6184,6.76746e+09
16,7419,6.83219e+09
17,8604,7.0537e+09
18,9842,7.30827e+09
19,11716,7.21014e+09
20,13401,7.34274e+09
21,15820,7.19204e+09
22,17560,7.44191e+09
23,23593,6.32298e+09
24,22556,7.50771e+09
25,24997,7.65092e+09
26,28327,7.5888e+09
27,31240,7.7007e+09
28,39123,6.85346e+09
29,38801,7.67284e+09
30,43106,7.64163e+09
31,46828,7.75728e+09
32,53746,7.43051e+09
33,65309,6.70318e+09
34,63659,7.51793e+09
35,67379,7.74499e+09
36,73909,7.68036e+09
37,80611,7.64226e+09
38,87104,7.65898e+09
39,94447,7.63342e+09
40,105094,7.39909e+09
41,110205,7.59619e+09
42,131171,6.85853e+09
43,125743,7.6758e+09
44,139663,7.40228e+09
45,145590,7.59427e+09
46,162659,7.25892e+09
47,165684,7.59959e+09
48,179766,7.4593e+09
49,187580,7.60312e+09
50,203236,7.45439e+09
51,213807,7.51808e+09
52,227940,7.47355e+09
53,333059,5.41459e+09
54,373332,5.10823e+09
55,291144,6.91977e+09
56,309264,6.87506e+09
57,305049,7.34902e+09
58,341417,6.91684e+09
59,373631,6.65211e+09
60,380886,6.8619e+09
61,391744,7.00993e+09
62,413828,6.96666e+09
63,434566,6.95954e+09
64,453623,6.98885e+09
65,474346,7.0009e+09
66,493071,7.04987e+09
67,513673,7.07861e+09
68,537099,7.07677e+09
69,568782,6.98101e+09
70,592817,6.99271e+09
71,613536,7.04959e+09
72,644566,6.99708e+09
73,678977,6.92244e+09
74,710660,6.88873e+09
75,769659,6.62144e+09
76,774364,6.84738e+09
77,806740,6.83488e+09
78,860399,6.66101e+09
79,898689,6.62511e+09
80,993717,6.22149e+09
81,1.00786e+06,6.36664e+09
82,1.0344e+06,6.43536e+09
83,1.07982e+06,6.39251e+09
84,1.09523e+06,6.53269e+09
85,1.14849e+06,6.45444e+09
86,1.28616e+06,5.96894e+09
87,1.23404e+06,6.44017e+09
88,1.25014e+06,6.57857e+09
89,1.28532e+06,6.61873e+09
90,1.32834e+06,6.62224e+09
91,1.36591e+06,6.65676e+09
92,1.40338e+06,6.69458e+09
93,1.45896e+06,6.65142e+09
94,1.5167e+06,6.60644e+09
95,1.58136e+06,6.54036e+09
96,1.69726e+06,6.28784e+09
97,1.63546e+06,6.73117e+09
98,1.72083e+06,6.59679e+09
99,1.77446e+06,6.59491e+09
100,1.80541e+06,6.67993e+09
101,1.87212e+06,6.63675e+09
102,1.91664e+06,6.67676e+09
103,2.00904e+06,6.55854e+09
104,2.07128e+06,6.54827e+09
105,2.12253e+06,6.57595e+09
106,2.16478e+06,6.63327e+09
107,2.24201e+06,6.5875e+09
108,2.29131e+06,6.62787e+09
109,2.39182e+06,6.52711e+09
110,2.44524e+06,6.56155e+09
111,2.50514e+06,6.58066e+09
112,2.61237e+06,6.48238e+09
113,2.67378e+06,6.50443e+09
114,2.7503e+06,6.49256e+09
115,2.80497e+06,6.53479e+09
116,2.87108e+06,6.55207e+09
117,2.96961e+06,6.49966e+09
118,3.00285e+06,6.59371e+09
119,3.11013e+06,6.52927e+09
120,3.15804e+06,6.59345e+09
121,3.33043e+06,6.40956e+09
122,3.36498e+06,6.50211e+09
123,3.44388e+06,6.51043e+09
124,3.4957e+06,6.57142e+09
125,3.59307e+06,6.54906e+09
126,3.65721e+06,6.58966e+09
127,3.78575e+06,6.51848e+09
128,5.87027e+06,4.30374e+09
129,3.94002e+06,6.56344e+09
130,3.95966e+06,6.68375e+09
131,4.05156e+06,6.68387e+09
132,4.16697e+06,6.64851e+09
133,4.2574e+06,6.65613e+09
134,4.35094e+06,6.66086e+09
135,4.46684e+06,6.63418e+09
136,4.54631e+06,6.66396e+09
137,4.69567e+06,6.59519e+09
138,4.73923e+06,6.67854e+09
139,5.01114e+06,6.4543e+09
140,5.06289e+06,6.52702e+09
141,5.21907e+06,6.4682e+09
142,5.53231e+06,6.23256e+09
143,5.44996e+06,6.46118e+09
144,5.681e+06,6.3292e+09
145,5.97311e+06,6.14581e+09
146,5.8164e+06,6.44273e+09
147,5.91119e+06,6.47042e+09
148,6.00477e+06,6.50032e+09
149,6.16641e+06,6.45896e+09
150,6.25178e+06,6.49975e+09
151,6.42368e+06,6.45303e+09
152,6.928e+06,6.10282e+09
153,6.68898e+06,6.44633e+09
154,6.80666e+06,6.45977e+09
155,7.39705e+06,6.06061e+09
156,7.08301e+06,6.45248e+09
157,7.3191e+06,6.36508e+09
158,7.41025e+06,6.40755e+09
159,7.62592e+06,6.34518e+09
160,8.53081e+06,5.77971e+09
161,7.92136e+06,6.34171e+09
162,8.00768e+06,6.39084e+09
163,8.63886e+06,6.03417e+09
164,8.12903e+06,6.53124e+09
165,8.33947e+06,6.48349e+09
166,8.45312e+06,6.5132e+09
167,8.687e+06,6.45297e+09
168,8.77192e+06,6.50586e+09
169,9.12902e+06,6.36356e+09
170,9.10961e+06,6.49088e+09
171,9.28732e+06,6.47959e+09
172,9.39064e+06,6.52127e+09
173,9.60478e+06,6.48762e+09
174,1.02927e+07,6.15953e+09
175,9.97441e+06,6.46617e+09
176,1.03493e+07,6.3393e+09
177,1.07586e+07,6.20252e+09
178,1.10447e+07,6.14477e+09
179,1.06841e+07,6.45969e+09
180,1.08731e+07,6.45433e+09
181,1.15578e+07,6.1736e+09
182,1.12039e+07,6.47467e+09
183,1.1584e+07,6.3659e+09
184,1.18083e+07,6.34783e+09
185,1.18816e+07,6.41199e+09
186,1.20075e+07,6.44812e+09
187,1.22791e+07,6.40765e+09
188,1.24258e+07,6.43406e+09
189,1.27272e+07,6.38234e+09
190,1.27987e+07,6.44788e+09
191,1.31019e+07,6.39856e+09
192,1.96397e+07,4.33591e+09
193,1.37697e+07,6.28136e+09
194,1.37847e+07,6.37245e+09
195,1.4071e+07,6.33977e+09
196,1.43877e+07,6.29601e+09
197,1.47832e+07,6.22176e+09
198,1.4864e+07,6.28255e+09
199,1.51881e+07,6.24205e+09
200,1.54e+07,6.24934e+09
201,1.56646e+07,6.23634e+09
202,1.58429e+07,6.25858e+09
203,1.61904e+07,6.21555e+09
204,1.64162e+07,6.22102e+09
205,1.67249e+07,6.19637e+09
206,1.69731e+07,6.19547e+09
207,1.7325e+07,6.15837e+09
208,1.80109e+07,6.01005e+09
209,1.7971e+07,6.11063e+09
210,1.824e+07,6.10728e+09
211,1.86119e+07,6.07109e+09
212,1.88443e+07,6.08179e+09
213,1.92601e+07,6.03504e+09
214,1.9124e+07,6.16392e+09
215,1.93354e+07,6.18233e+09
216,1.96512e+07,6.16818e+09
217,2.03921e+07,6.02696e+09
218,2.05362e+07,6.06771e+09
219,2.08817e+07,6.04975e+09
220,2.11403e+07,6.05793e+09
221,2.14903e+07,6.04083e+09
222,2.20875e+07,5.95758e+09
223,2.21116e+07,6.03183e+09
224,2.99256e+07,4.517e+09
225,2.296e+07,5.96651e+09
226,2.38837e+07,5.81252e+09
227,2.41103e+07,5.83462e+09
228,2.44879e+07,5.82083e+09
229,2.49044e+07,5.79907e+09
230,2.52067e+07,5.80486e+09
231,2.57332e+07,5.76052e+09
232,2.59658e+07,5.78333e+09
233,2.65326e+07,5.73323e+09
234,2.69415e+07,5.71919e+09
235,2.72356e+07,5.73021e+09
236,2.76156e+07,5.72376e+09
237,2.81562e+07,5.68549e+09
238,2.84192e+07,5.70442e+09
239,2.89386e+07,5.67289e+09
240,2.8877e+07,5.75661e+09
241,2.91985e+07,5.76464e+09
242,2.95822e+07,5.76094e+09
243,2.98441e+07,5.78141e+09
244,3.04908e+07,5.72889e+09
245,3.07739e+07,5.74622e+09
246,3.16028e+07,5.66426e+09
247,3.18707e+07,5.68538e+09
248,3.26e+07,5.62592e+09
249,3.29291e+07,5.63729e+09
250,3.33908e+07,5.62656e+09
251,3.38742e+07,5.61304e+09
252,3.42093e+07,5.62471e+09
253,3.41109e+07,5.7083e+09
254,3.50185e+07,5.62651e+09
255,3.51332e+07,5.67459e+09
256,4.58157e+07,4.40285e+09
257,3.57816e+07,5.70381e+09
258,3.68312e+07,5.60616e+09
259,3.67758e+07,5.6801e+09
260,3.68513e+07,5.73434e+09
261,3.75304e+07,5.69575e+09
262,3.81145e+07,5.67313e+09
263,3.85121e+07,5.67905e+09
264,3.91337e+07,5.6528e+09
265,3.99729e+07,5.59722e+09
266,4.06739e+07,5.56322e+09
267,4.13507e+07,5.53407e+09
268,4.08525e+07,5.66469e+09
269,4.14608e+07,5.64426e+09
270,4.2119e+07,5.61821e+09
271,4.30797e+07,5.55415e+09
272,4.31476e+07,5.60698e+09
273,4.35844e+07,5.6122e+09
274,4.37637e+07,5.65081e+09
275,4.51509e+07,5.53735e+09
276,4.53131e+07,5.5779e+09
277,4.53674e+07,5.63196e+09
278,4.58943e+07,5.62779e+09
279,4.74559e+07,5.5015e+09
280,4.78457e+07,5.51553e+09
281,4.79762e+07,5.55963e+09
282,4.83231e+07,5.57883e+09
283,4.90371e+07,5.55626e+09
284,4.95674e+07,5.55526e+09
285,4.97645e+07,5.59187e+09
286,5.02263e+07,5.59896e+09
287,5.04992e+07,5.62728e+09
288,6.69377e+07,4.28984e+09
289,5.26639e+07,5.5095e+09
290,5.16106e+07,5.68047e+09
291,5.29486e+07,5.59437e+09
292,5.41976e+07,5.52196e+09
293,5.40641e+07,5.59263e+09
294,5.47008e+07,5.58428e+09
295,5.63632e+07,5.47504e+09
296,5.56947e+07,5.59726e+09
297,5.69148e+07,5.53294e+09
298,5.7953e+07,5.48886e+09
299,5.83566e+07,5.50593e+09
300,5.86548e+07,5.53305e+09
301,5.98207e+07,5.47961e+09
302,5.95935e+07,5.55548e+09
303,6.09031e+07,5.49017e+09
304,6.13409e+07,5.50511e+09
305,6.3162e+07,5.39928e+09
306,6.38158e+07,5.39668e+09
307,6.49225e+07,5.35683e+09
308,6.39671e+07,5.49011e+09
309,6.46101e+07,5.48856e+09
310,6.5136e+07,5.49725e+09
311,6.67091e+07,5.4197e+09
312,6.69795e+07,5.45002e+09
313,6.85569e+07,5.37596e+09
314,6.83235e+07,5.44617e+09
315,7.07292e+07,5.31133e+09
316,6.91453e+07,5.48487e+09
317,7.06232e+07,5.42121e+09
318,7.09566e+07,5.44694e+09
319,7.20234e+07,5.41701e+09
320,9.13838e+07,4.30963e+09
321,7.47517e+07,5.31803e+09
322,7.36341e+07,5.44934e+09
323,7.45216e+07,5.43474e+09
324,7.42517e+07,5.50528e+09
325,7.64724e+07,5.39504e+09
326,7.71214e+07,5.39914e+09
327,7.80351e+07,5.38515e+09
328,7.6851e+07,5.51842e+09
329,8.08003e+07,5.29682e+09
330,8.06408e+07,5.35582e+09
331,8.14682e+07,5.34974e+09
332,8.0145e+07,5.48748e+09
333,8.30364e+07,5.34437e+09
334,8.43563e+07,5.30827e+09
335,8.50357e+07,5.31327e+09
336,8.66039e+07,5.26389e+09
337,8.48206e+07,5.42268e+09
338,8.60152e+07,5.39508e+09
339,8.70081e+07,5.38097e+09
340,8.77549e+07,5.38251e+09
341,9.12573e+07,5.22172e+09
342,9.24992e+07,5.19704e+09
343,9.45816e+07,5.12731e+09
344,9.16453e+07,5.33798e+09
345,9.26977e+07,5.32352e+09
346,9.18871e+07,5.41729e+09
347,9.34355e+07,5.37382e+09
348,9.41618e+07,5.37858e+09
349,9.91879e+07,5.15016e+09
350,9.97197e+07,5.16683e+09
351,1.00359e+08,5.17801e+09
352,1.33387e+08,3.92926e+09
353,1.02682e+08,5.14785e+09
354,1.0249e+08,5.20144e+09
355,1.05e+08,5.12021e+09
356,1.03775e+08,5.22454e+09
357,1.0453e+08,5.23063e+09
358,1.05079e+08,5.2471e+09
359,1.0692e+08,5.2001e+09
360,1.07682e+08,5.20652e+09
361,1.09315e+08,5.1716e+09
362,1.10294e+08,5.16839e+09
363,1.11403e+08,5.15944e+09
364,1.10879e+08,5.22675e+09
365,1.11987e+08,5.21777e+09
366,1.10891e+08,5.31279e+09
367,1.1253e+08,5.27842e+09
368,1.22601e+08,4.88452e+09
369,1.13326e+08,5.32746e+09
370,1.11835e+08,5.44246e+09
371,1.15264e+08,5.32345e+09
372,1.14576e+08,5.39883e+09
373,1.19246e+08,5.22933e+09
374,1.19681e+08,5.2523e+09
375,1.21659e+08,5.20847e+09
376,1.22702e+08,5.20559e+09
377,1.2331e+08,5.22135e+09
378,1.21471e+08,5.34266e+09
379,1.27534e+08,5.12915e+09
380,1.2456e+08,5.29326e+09
381,1.32977e+08,4.99747e+09
382,1.29709e+08,5.1638e+09
383,1.32724e+08,5.08621e+09
384,1.68024e+08,4.04921e+09
385,1.35375e+08,5.0651e+09
386,1.35663e+08,5.09384e+09
387,1.38613e+08,5.02425e+09
388,1.35329e+08,5.18615e+09
389,1.35619e+08,5.21514e+09
390,1.35773e+08,5.24948e+09
391,1.40212e+08,5.12249e+09
392,1.39561e+08,5.18596e+09
393,1.47257e+08,4.95261e+09
394,1.47138e+08,4.99455e+09
395,1.46095e+08,5.06859e+09
396,1.49501e+08,4.99082e+09
397,1.47661e+08,5.09137e+09
398,1.50268e+08,5.04091e+09
399,1.50495e+08,5.07131e+09
400,1.87026e+08,4.11152e+09
401,1.55973e+08,4.96714e+09
402,1.56209e+08,4.99682e+09
403,1.54891e+08,5.07703e+09
404,1.59773e+08,4.9586e+09
405,1.56334e+08,5.10538e+09
406,1.55397e+08,5.17429e+09
407,1.58033e+08,5.12566e+09
