n,time,FLOPs
2,562,2.4911e+08
3,1068,5.05618e+08
4,2416,5.46358e+08
5,4559,5.70301e+08
6,7532,5.97451e+08
7,12911,5.53017e+08
8,18257,5.8279e+08
9,23440,6.45051e+08
10,28891,7.16486e+08
11,48126,5.71417e+08
12,48359,7.36988e+08
13,60583,7.46744e+08
14,74024,7.62185e+08
15,89920,7.70685e+08
16,109147,7.69604e+08
17,128050,7.85943e+08
18,145897,8.17974e+08
19,171498,8.17619e+08
20,197748,8.26304e+08
21,226095,8.35932e+08
22,262488,8.27238e+08
23,305910,8.105e+08
24,335918,8.38062e+08
25,373015,8.52513e+08
26,415018,8.61408e+08
27,466753,8.57284e+08
28,515036,8.66037e+08
29,567713,8.72483e+08
30,629571,8.70593e+08
31,694343,8.70607e+08
32,761739,8.7253e+08
33,854050,8.53158e+08
34,912440,8.73066e+08
35,1.02107e+06,8.50775e+08
36,1.10171e+06,8.57755e+08
37,1.15263e+06,8.89827e+08
38,1.25908e+06,8.82185e+08
39,1.3792e+06,8.70373e+08
40,1.46042e+06,8.86594e+08
41,1.56139e+06,8.92792e+08
42,1.68403e+06,8.89617e+08
43,1.80394e+06,8.91018e+08
44,1.89717e+06,9.0752e+08
45,2.10732e+06,8.73813e+08
46,2.15927e+06,9.10726e+08
47,2.34493e+06,8.9433e+08
48,2.47843e+06,9.0115e+08
49,2.60734e+06,9.11091e+08
50,2.75606e+06,9.15617e+08
51,2.96355e+06,9.03478e+08
52,3.11177e+06,9.11905e+08
53,3.33819e+06,8.99901e+08
54,3.45554e+06,9.1934e+08
55,3.76262e+06,8.91959e+08
56,3.84006e+06,9.2238e+08
57,4.22658e+06,8.83608e+08
58,4.33539e+06,9.07449e+08
59,4.58207e+06,9.03658e+08
60,4.85027e+06,8.97723e+08
61,5.03443e+06,9.08743e+08
62,5.3321e+06,9.00797e+08
63,5.66677e+06,8.89174e+08
64,5.77053e+06,9.15326e+08
65,5.95847e+06,9.2856e+08
66,6.2165e+06,9.31634e+08
67,6.60329e+06,9.17443e+08
68,6.97397e+06,9.08069e+08
69,7.37396e+06,8.97174e+08
70,7.68464e+06,8.98793e+08
71,7.93912e+06,9.07721e+08
72,8.29639e+06,9.05773e+08
73,8.50796e+06,9.20484e+08
74,8.79616e+06,9.27339e+08
75,9.37082e+06,9.06164e+08
76,9.56372e+06,9.23804e+08
77,1.00656e+07,9.12772e+08
78,1.03064e+07,9.26569e+08
79,1.05685e+07,9.3872e+08
80,1.12281e+07,9.17486e+08
81,1.16409e+07,9.18483e+08
82,1.20661e+07,9.19282e+08
83,1.25434e+07,9.16988e+08
84,1.28471e+07,9.28002e+08
85,1.32089e+07,9.35142e+08
86,1.40406e+07,9.1111e+08
87,1.41095e+07,9.38595e+08
88,1.4605e+07,9.38325e+08
89,1.53075e+07,9.26077e+08
90,1.56764e+07,9.35058e+08
91,1.6148e+07,9.38289e+08
92,1.6615e+07,9.42259e+08
93,1.70627e+07,9.47729e+08
94,1.79695e+07,9.29197e+08
95,1.87019e+07,9.21559e+08
96,1.92305e+07,9.24781e+08
97,1.98957e+07,9.2204e+08
98,2.04338e+07,9.25766e+08
99,2.10083e+07,9.28252e+08
100,2.15472e+07,9.32697e+08
101,2.20602e+07,9.38566e+08
102,2.32031e+07,9.19064e+08
103,2.33657e+07,9.39733e+08
104,2.41025e+07,9.3776e+08
105,2.52879e+07,9.19792e+08
106,2.59992e+07,9.20395e+08
107,2.62808e+07,9.36506e+08
108,2.73331e+07,9.25896e+08
109,2.81825e+07,9.23129e+08
110,2.89253e+07,9.2437e+08
111,2.95956e+07,9.28264e+08
112,3.03314e+07,9.30409e+08
113,3.10248e+07,9.34163e+08
114,3.15967e+07,9.41789e+08
115,3.26665e+07,9.35096e+08
116,3.31762e+07,9.44925e+08
117,3.43606e+07,9.36121e+08
118,3.55771e+07,9.2746e+08
119,3.63277e+07,9.31554e+08
120,3.69301e+07,9.39625e+08
121,3.82703e+07,9.29547e+08
122,3.90849e+07,9.32897e+08
123,4.0003e+07,9.34054e+08
124,4.12958e+07,9.27032e+08
125,4.22285e+07,9.28638e+08
126,4.32767e+07,9.2804e+08
127,4.50614e+07,9.12646e+08
128,4.60332e+07,9.14623e+08
129,4.72889e+07,9.11341e+08
130,4.80109e+07,9.18647e+08
131,4.88076e+07,9.2464e+08
132,5.00016e+07,9.23364e+08
133,5.04499e+07,9.3609e+08
134,5.14591e+07,9.38564e+08
135,5.31893e+07,9.2849e+08
136,5.3768e+07,9.39035e+08
137,5.5129e+07,9.36179e+08
138,5.61416e+07,9.39548e+08
139,5.76187e+07,9.35485e+08
140,5.88171e+07,9.36323e+08
141,5.97063e+07,9.42262e+08
142,6.11483e+07,9.39735e+08
143,6.28388e+07,9.33887e+08
144,6.30747e+07,9.50027e+08
145,6.50573e+07,9.40378e+08
146,6.6328e+07,9.41556e+08
147,6.72298e+07,9.48123e+08
148,6.92552e+07,9.39285e+08
149,6.96979e+07,9.52346e+08
150,7.17895e+07,9.43321e+08
151,7.33285e+07,9.42097e+08
152,7.3917e+07,9.53267e+08
153,7.57889e+07,9.48173e+08
154,7.68159e+07,9.53941e+08
155,7.8787e+07,9.48292e+08
156,7.95044e+07,9.58023e+08
157,8.11715e+07,9.56489e+08
158,8.32372e+07,9.5067e+08
159,8.54874e+07,9.43316e+08
160,8.52687e+07,9.63674e+08
161,8.80124e+07,9.5123e+08
162,8.96389e+07,9.51463e+08
163,8.99776e+07,9.65527e+08
164,9.16954e+07,9.64966e+08
165,9.36371e+07,9.6233e+08
166,9.5484e+07,9.60962e+08
167,9.61313e+07,9.71828e+08
168,9.83618e+07,9.66939e+08
169,1.00674e+08,9.61686e+08
170,1.01995e+08,9.66162e+08
171,1.02882e+08,9.74818e+08
172,1.05552e+08,9.66915e+08
173,1.0801e+08,9.61471e+08
174,1.09645e+08,9.63638e+08
175,1.10937e+08,9.68916e+08
176,1.13476e+08,9.63549e+08
177,1.15068e+08,9.66498e+08
178,1.17299e+08,9.64256e+08
179,1.18435e+08,9.71185e+08
180,1.21383e+08,9.63548e+08
181,1.23249e+08,9.64848e+08
182,1.25652e+08,9.62162e+08
183,1.28333e+08,9.57659e+08
184,1.28625e+08,9.71217e+08
185,1.3129e+08,9.67092e+08
186,1.32513e+08,9.7377e+08
187,1.34839e+08,9.7248e+08
188,1.38672e+08,9.60838e+08
189,1.39626e+08,9.69567e+08
190,1.41972e+08,9.6875e+08
191,1.43738e+08,9.72021e+08
192,1.4697e+08,9.65642e+08
193,1.50914e+08,9.55165e+08
194,1.50975e+08,9.69684e+08
195,1.52622e+08,9.7412e+08
196,1.55955e+08,9.68032e+08
197,1.58733e+08,9.65707e+08
198,1.60699e+08,9.68483e+08
199,1.62003e+08,9.75304e+08
200,1.65658e+08,9.68223e+08
201,1.6818e+08,9.68071e+08
202,1.69623e+08,9.74219e+08
203,1.73738e+08,9.65328e+08
204,1.7445e+08,9.75654e+08
205,1.77793e+08,9.71448e+08
206,1.79529e+08,9.7619e+08
207,1.81021e+08,9.82304e+08
208,1.82924e+08,9.86228e+08
209,1.88179e+08,9.72569e+08
210,1.89792e+08,9.782e+08
211,1.9262e+08,9.77663e+08
212,1.94556e+08,9.81754e+08
213,1.99246e+08,9.72259e+08
214,2.02681e+08,9.693e+08
215,2.03638e+08,9.78319e+08
216,2.06566e+08,9.77961e+08
217,2.08056e+08,9.84496e+08
218,2.12792e+08,9.75943e+08
219,2.16751e+08,9.71356e+08
220,2.17271e+08,9.82358e+08
221,2.20598e+08,9.80786e+08
222,2.2342e+08,9.81593e+08
223,2.26313e+08,9.82189e+08
224,2.2935e+08,9.82268e+08
225,2.39357e+08,9.53854e+08
226,2.37671e+08,9.7348e+08
227,2.41606e+08,9.70382e+08
228,2.44768e+08,9.7055e+08
229,2.4668e+08,9.75747e+08
230,2.4994e+08,9.75683e+08
231,2.5316e+08,9.75883e+08
232,2.58377e+08,9.6864e+08
233,2.60042e+08,9.74931e+08
234,2.63793e+08,9.73487e+08
235,2.66496e+08,9.7601e+08
236,2.70949e+08,9.72268e+08
237,2.74299e+08,9.72645e+08
238,2.77114e+08,9.74994e+08
239,2.80511e+08,9.7537e+08
240,2.83277e+08,9.78015e+08
241,2.87579e+08,9.75466e+08
242,2.91288e+08,9.75077e+08
243,2.94811e+08,9.75408e+08
244,2.98979e+08,9.73726e+08
245,3.02526e+08,9.74183e+08
246,3.05453e+08,9.76703e+08
