n,time,FLOPs
2,259,4.6332e+08
3,249,1.51807e+09
4,3613,2.39136e+08
5,5521,2.98859e+08
6,668,4.20359e+09
7,953,4.62749e+09
8,1124,5.80783e+09
9,1729,5.34066e+09
10,2140,5.88785e+09
11,2702,6.17987e+09
12,3771,5.72792e+09
13,4476,6.11662e+09
14,5364,6.35794e+09
15,6008,6.96571e+09
16,8126,6.23776e+09
17,9098,6.6707e+09
18,10587,6.79399e+09
19,12040,7.01611e+09
20,15913,6.18362e+09
21,16739,6.79718e+09
22,18603,7.02467e+09
23,20876,7.14591e+09
24,25027,6.76645e+09
25,27287,7.00883e+09
26,29658,7.24823e+09
27,32241,7.46162e+09
28,40637,6.59812e+09
29,43853,6.78891e+09
30,47533,6.92992e+09
31,51186,7.09682e+09
32,60943,6.55301e+09
33,64788,6.75708e+09
34,76309,6.27166e+09
35,149226,3.49704e+09
36,86123,6.59113e+09
37,91667,6.72052e+09
38,97752,6.8247e+09
39,105022,6.86479e+09
40,118705,6.55069e+09
41,130152,6.432e+09
42,132687,6.78017e+09
43,140050,6.89167e+09
44,159504,6.48149e+09
45,169200,6.53457e+09
46,176558,6.68748e+09
47,186588,6.74818e+09
48,208324,6.43674e+09
49,215553,6.61644e+09
50,225804,6.70936e+09
51,242404,6.63115e+09
52,262026,6.50134e+09
53,274292,6.57466e+09
54,286987,6.64512e+09
55,302470,6.66066e+09
56,329270,6.45734e+09
57,342656,6.54245e+09
58,424450,5.56374e+09
59,525228,4.7321e+09
60,405002,6.4533e+09
61,421711,6.5118e+09
62,483683,5.96052e+09
63,467930,6.46331e+09
64,493928,6.41855e+09
65,547546,6.06497e+09
66,529995,6.55872e+09
67,549935,6.61185e+09
68,672377,5.65297e+09
69,619973,6.40459e+09
70,633524,6.5434e+09
71,660319,6.55013e+09
72,710805,6.34503e+09
73,747653,6.28658e+09
74,749765,6.52944e+09
75,847544,6.01296e+09
76,837638,6.33014e+09
77,888517,6.20581e+09
78,1.02624e+06,5.58457e+09
79,1.19169e+06,4.99618e+09
80,974586,6.34362e+09
81,1.0288e+06,6.23701e+09
82,1.05904e+06,6.28563e+09
83,1.12938e+06,6.11202e+09
84,1.13911e+06,6.28101e+09
85,1.16443e+06,6.36609e+09
86,1.21195e+06,6.33445e+09
87,1.24643e+06,6.37617e+09
88,1.2929e+06,6.36099e+09
89,1.33122e+06,6.3905e+09
90,1.39453e+06,6.30794e+09
91,1.42863e+06,6.3645e+09
92,1.47889e+06,6.35277e+09
93,1.52169e+06,6.37725e+09
94,1.56928e+06,6.38512e+09
95,1.63682e+06,6.31877e+09
96,1.71069e+06,6.23851e+09
97,1.72838e+06,6.36929e+09
98,1.80787e+06,6.27919e+09
99,1.85571e+06,6.30616e+09
100,1.92888e+06,6.25234e+09
101,1.97439e+06,6.293e+09
102,2.02748e+06,6.31172e+09
103,2.08354e+06,6.32403e+09
104,2.15213e+06,6.30225e+09
105,2.21426e+06,6.30352e+09
106,2.29061e+06,6.2689e+09
107,2.33809e+06,6.31678e+09
108,2.45164e+06,6.19442e+09
109,2.49356e+06,6.26079e+09
110,2.59152e+06,6.19119e+09
111,2.64611e+06,6.23008e+09
112,2.73475e+06,6.19231e+09
113,2.84129e+06,6.12094e+09
114,2.87118e+06,6.21921e+09
115,2.93305e+06,6.24942e+09
116,3.02186e+06,6.22514e+09
117,3.12547e+06,6.17554e+09
118,3.1922e+06,6.20259e+09
119,3.25255e+06,6.24336e+09
120,3.34365e+06,6.22745e+09
121,3.42672e+06,6.22945e+09
122,3.51885e+06,6.21779e+09
123,3.53682e+06,6.33936e+09
124,3.62236e+06,6.34165e+09
125,3.72348e+06,6.31968e+09
126,3.80682e+06,6.33068e+09
127,3.89269e+06,6.33942e+09
128,5.6598e+06,4.46379e+09
129,4.07483e+06,6.3463e+09
130,4.18936e+06,6.31729e+09
131,4.32857e+06,6.25612e+09
132,4.42551e+06,6.26011e+09
133,4.48519e+06,6.31808e+09
134,4.63792e+06,6.2487e+09
135,4.79785e+06,6.17648e+09
136,4.80642e+06,6.30333e+09
137,4.94102e+06,6.26771e+09
138,5.09912e+06,6.20718e+09
139,5.27478e+06,6.13169e+09
140,5.38468e+06,6.13696e+09
141,5.43505e+06,6.21116e+09
142,5.65444e+06,6.09794e+09
143,5.80558e+06,6.0654e+09
144,5.8977e+06,6.09665e+09
145,5.99589e+06,6.12247e+09
146,6.05389e+06,6.18999e+09
147,6.24612e+06,6.12347e+09
148,6.29698e+06,6.19867e+09
149,6.41534e+06,6.20834e+09
150,6.6475e+06,6.11282e+09
151,6.78332e+06,6.1109e+09
152,6.85949e+06,6.16377e+09
153,6.9952e+06,6.16414e+09
154,7.25603e+06,6.05971e+09
155,7.42286e+06,6.03954e+09
156,7.47749e+06,6.11208e+09
157,7.65038e+06,6.08945e+09
158,7.7877e+06,6.09699e+09
159,7.89397e+06,6.12972e+09
160,8.12004e+06,6.07209e+09
161,8.10026e+06,6.20164e+09
162,8.34104e+06,6.13542e+09
163,8.47831e+06,6.14844e+09
164,8.59124e+06,6.17986e+09
165,8.70616e+06,6.21042e+09
166,8.99339e+06,6.12193e+09
167,9.21908e+06,6.08053e+09
168,9.19285e+06,6.20797e+09
169,9.434e+06,6.15784e+09
170,9.68644e+06,6.10435e+09
171,9.87214e+06,6.09574e+09
172,1.04479e+07,5.86138e+09
173,1.05182e+07,5.92425e+09
174,1.04198e+07,6.08437e+09
175,1.08591e+07,5.93937e+09
176,1.09524e+07,5.99023e+09
177,1.08646e+07,6.14206e+09
178,1.11927e+07,6.0635e+09
179,1.16276e+07,5.93557e+09
180,1.1421e+07,6.14467e+09
181,1.15802e+07,6.16168e+09
182,1.19027e+07,6.09456e+09
183,1.20757e+07,6.10671e+09
184,1.20717e+07,6.20933e+09
185,1.24348e+07,6.12673e+09
186,1.28376e+07,6.03119e+09
187,1.30543e+07,6.02715e+09
188,1.31191e+07,6.09402e+09
189,1.33046e+07,6.10538e+09
190,1.36404e+07,6.05e+09
191,1.38871e+07,6.03676e+09
192,1.53511e+07,5.54722e+09
193,1.41936e+07,6.09372e+09
194,1.454e+07,6.04145e+09
195,1.49852e+07,5.95297e+09
196,1.48396e+07,6.10426e+09
197,1.51287e+07,6.07967e+09
198,1.55003e+07,6.02467e+09
199,1.57671e+07,6.01283e+09
200,1.57825e+07,6.09789e+09
201,1.60701e+07,6.07895e+09
202,1.65013e+07,6.00885e+09
203,1.68117e+07,5.98585e+09
204,1.69022e+07,6.04216e+09
205,1.7886e+07,5.79412e+09
206,1.78837e+07,5.88001e+09
207,1.81787e+07,5.86917e+09
208,1.83563e+07,5.89698e+09
209,1.85048e+07,5.93434e+09
210,1.89204e+07,5.88765e+09
211,1.88086e+07,6.00759e+09
212,1.87139e+07,6.12417e+09
213,1.92619e+07,6.03447e+09
214,1.98696e+07,5.93263e+09
215,2.01053e+07,5.94558e+09
216,2.00587e+07,6.04288e+09
217,2.03808e+07,6.03028e+09
218,2.08857e+07,5.96619e+09
219,2.12243e+07,5.95211e+09
220,2.13025e+07,6.01181e+09
221,2.16839e+07,5.98689e+09
222,2.23917e+07,5.87666e+09
223,2.2564e+07,5.91089e+09
224,2.31985e+07,5.82685e+09
225,2.28811e+07,5.98708e+09
226,2.34502e+07,5.91997e+09
227,2.38231e+07,5.90495e+09
228,2.42375e+07,5.88098e+09
229,2.44632e+07,5.90366e+09
230,2.46979e+07,5.92445e+09
231,2.5086e+07,5.90914e+09
232,2.56388e+07,5.85709e+09
233,2.59938e+07,5.85209e+09
234,2.66047e+07,5.79159e+09
235,2.66727e+07,5.85114e+09
236,2.65408e+07,5.95556e+09
237,2.7399e+07,5.84262e+09
238,2.7609e+07,5.87183e+09
239,2.78535e+07,5.89391e+09
240,2.815e+07,5.90527e+09
241,2.87726e+07,5.84997e+09
242,2.89934e+07,5.87794e+09
243,2.95643e+07,5.83614e+09
244,2.9516e+07,5.9181e+09
245,2.98465e+07,5.92477e+09
246,3.0489e+07,5.87118e+09
247,3.09107e+07,5.86194e+09
248,3.15349e+07,5.81593e+09
249,3.20355e+07,5.79454e+09
250,3.2688e+07,5.74753e+09
251,3.32712e+07,5.71476e+09
252,3.30469e+07,5.82255e+09
253,3.34294e+07,5.82467e+09
254,3.38153e+07,5.8267e+09
255,3.46371e+07,5.75586e+09
256,4.73701e+07,4.25838e+09
257,3.4868e+07,5.85326e+09
258,3.5742e+07,5.777e+09
259,3.6578e+07,5.71081e+09
260,3.68175e+07,5.7396e+09
261,3.725e+07,5.73862e+09
262,3.73639e+07,5.7871e+09
263,3.86751e+07,5.65512e+09
264,3.86089e+07,5.72963e+09
265,3.85595e+07,5.80238e+09
266,3.8986e+07,5.80407e+09
267,4.02047e+07,5.69182e+09
268,3.99569e+07,5.79167e+09
269,4.03046e+07,5.80617e+09
270,4.09332e+07,5.78096e+09
271,4.29893e+07,5.56583e+09
272,4.19034e+07,5.77346e+09
273,4.23579e+07,5.7747e+09
274,4.23502e+07,5.83942e+09
275,4.26552e+07,5.86133e+09
276,4.36722e+07,5.78747e+09
277,4.44706e+07,5.74554e+09
