n,time,FLOPs
2,251,4.78088e+08
3,239,1.58159e+09
4,311,2.77814e+09
5,452,3.65044e+09
6,670,4.19104e+09
7,925,4.76757e+09
8,1252,5.21406e+09
9,1581,5.84061e+09
10,2088,6.03448e+09
11,2659,6.2798e+09
12,3599,6.00167e+09
13,4200,6.51857e+09
14,5471,6.2336e+09
15,6488,6.45037e+09
16,7905,6.41214e+09
17,8999,6.74408e+09
18,10532,6.82947e+09
19,11662,7.24353e+09
20,14528,6.77313e+09
21,16395,6.9398e+09
22,18229,7.1688e+09
23,20569,7.25256e+09
24,24770,6.83666e+09
25,27479,6.95986e+09
26,30313,7.09161e+09
27,33370,7.20917e+09
28,39798,6.73722e+09
29,44338,6.71465e+09
30,49570,6.64515e+09
31,52548,6.91288e+09
32,60756,6.57318e+09
33,65465,6.68721e+09
34,70946,6.74575e+09
35,77156,6.76357e+09
36,87852,6.46141e+09
37,94126,6.54495e+09
38,101415,6.5782e+09
39,112548,6.40575e+09
40,120519,6.45209e+09
41,128831,6.49795e+09
42,137502,6.54274e+09
43,145694,6.62469e+09
44,161636,6.396e+09
45,172054,6.42618e+09
46,180546,6.53976e+09
47,216660,5.81155e+09
48,207953,6.44823e+09
49,220827,6.45842e+09
50,232448,6.51759e+09
51,246637,6.51734e+09
52,271170,6.28211e+09
53,279947,6.44186e+09
54,296736,6.4268e+09
55,307986,6.54137e+09
56,332834,6.38819e+09
57,349834,6.40821e+09
58,364830,6.47295e+09
59,376875,6.59485e+09
60,414392,6.30707e+09
61,429359,6.39581e+09
62,440191,6.54943e+09
63,460163,6.57241e+09
64,492800,6.43325e+09
65,512669,6.47757e+09
66,537316,6.46936e+09
67,558199,6.51397e+09
68,600252,6.33222e+09
69,619881,6.40554e+09
70,675676,6.13519e+09
71,689562,6.27236e+09
72,732380,6.15811e+09
73,763357,6.15725e+09
74,805239,6.07962e+09
75,828794,6.14899e+09
76,848724,6.24746e+09
77,878088,6.27952e+09
78,914186,6.2691e+09
79,952478,6.25097e+09
80,994397,6.21724e+09
81,1.00916e+06,6.35839e+09
82,1.05257e+06,6.32429e+09
83,1.16036e+06,5.94882e+09
84,1.12982e+06,6.33265e+09
85,1.16511e+06,6.36234e+09
86,1.20744e+06,6.35814e+09
87,1.27415e+06,6.23746e+09
88,1.30522e+06,6.30096e+09
89,1.33556e+06,6.36974e+09
90,1.41218e+06,6.22911e+09
91,1.42954e+06,6.36044e+09
92,1.47075e+06,6.38793e+09
93,1.51882e+06,6.38928e+09
94,1.56554e+06,6.40036e+09
95,1.62129e+06,6.37926e+09
96,1.69347e+06,6.30191e+09
97,1.74402e+06,6.31217e+09
98,1.78166e+06,6.37155e+09
99,1.85135e+06,6.32102e+09
100,1.91164e+06,6.30871e+09
101,1.94404e+06,6.39123e+09
102,2.02049e+06,6.33357e+09
103,2.09533e+06,6.28844e+09
104,2.19588e+06,6.17669e+09
105,2.2005e+06,6.34293e+09
106,2.2669e+06,6.33447e+09
107,2.42926e+06,6.07972e+09
108,2.42023e+06,6.27483e+09
109,2.45002e+06,6.37204e+09
110,2.55175e+06,6.28769e+09
111,2.69562e+06,6.11567e+09
112,2.68898e+06,6.29771e+09
113,2.78952e+06,6.23454e+09
114,2.8224e+06,6.3267e+09
115,2.91824e+06,6.28112e+09
116,2.9683e+06,6.33747e+09
117,3.07995e+06,6.26682e+09
118,3.13958e+06,6.30656e+09
119,3.23591e+06,6.27547e+09
120,3.29608e+06,6.31731e+09
121,3.44266e+06,6.20061e+09
122,3.56866e+06,6.13101e+09
123,3.76889e+06,5.94901e+09
124,3.7064e+06,6.19786e+09
125,3.80102e+06,6.19078e+09
126,3.90942e+06,6.16454e+09
127,4.13759e+06,5.96419e+09
128,5.5461e+06,4.55529e+09
129,4.17457e+06,6.19468e+09
130,4.32342e+06,6.1214e+09
131,4.4028e+06,6.15064e+09
132,4.45798e+06,6.21451e+09
133,4.51386e+06,6.27794e+09
134,4.63328e+06,6.25496e+09
135,4.76978e+06,6.21284e+09
136,4.81257e+06,6.29527e+09
137,4.92537e+06,6.28762e+09
138,5.11591e+06,6.18681e+09
139,5.21762e+06,6.19887e+09
140,5.33646e+06,6.19243e+09
141,5.39487e+06,6.25741e+09
142,5.54993e+06,6.21277e+09
143,5.7219e+06,6.15411e+09
144,5.84071e+06,6.15614e+09
145,5.92281e+06,6.19802e+09
146,6.03495e+06,6.20942e+09
147,6.22607e+06,6.14319e+09
148,6.27272e+06,6.22265e+09
149,6.44459e+06,6.18016e+09
150,6.55048e+06,6.20336e+09
151,6.88234e+06,6.02298e+09
152,6.86967e+06,6.15464e+09
153,7.04226e+06,6.12295e+09
154,7.16038e+06,6.14066e+09
155,7.40795e+06,6.0517e+09
156,7.42723e+06,6.15344e+09
157,7.60048e+06,6.12943e+09
158,7.78002e+06,6.10301e+09
159,7.95815e+06,6.08029e+09
160,8.17167e+06,6.03372e+09
161,8.23702e+06,6.09868e+09
162,8.37234e+06,6.11249e+09
163,8.56968e+06,6.08288e+09
164,8.58502e+06,6.18435e+09
165,8.79714e+06,6.14618e+09
166,8.97552e+06,6.13412e+09
167,9.22566e+06,6.0762e+09
168,9.43113e+06,6.05112e+09
169,9.53442e+06,6.09299e+09
170,9.74227e+06,6.06936e+09
171,1.00181e+07,6.00692e+09
172,1.04634e+07,5.85269e+09
173,1.01718e+07,6.12599e+09
174,1.04261e+07,6.08069e+09
175,1.07588e+07,5.99475e+09
176,1.09724e+07,5.9793e+09
177,1.102e+07,6.05544e+09
178,1.12207e+07,6.04838e+09
179,1.18867e+07,5.80616e+09
180,1.18657e+07,5.91439e+09
181,1.1944e+07,5.974e+09
182,1.20257e+07,6.0322e+09
183,1.24547e+07,5.92086e+09
184,1.23338e+07,6.07739e+09
185,1.25671e+07,6.06225e+09
186,1.2818e+07,6.04041e+09
187,1.33922e+07,5.8751e+09
188,1.3129e+07,6.08945e+09
189,1.35244e+07,6.00616e+09
190,1.37218e+07,6.01412e+09
191,1.43328e+07,5.84907e+09
192,1.501e+07,5.67326e+09
193,1.43574e+07,6.0242e+09
194,1.4523e+07,6.04849e+09
195,1.4891e+07,5.99064e+09
196,1.50189e+07,6.03141e+09
197,1.52484e+07,6.03195e+09
198,1.56002e+07,5.98609e+09
199,1.56199e+07,6.06948e+09
200,1.56751e+07,6.13967e+09
201,1.59452e+07,6.12658e+09
202,1.63065e+07,6.08064e+09
203,1.66396e+07,6.04777e+09
204,1.69703e+07,6.01789e+09
205,1.78799e+07,5.79609e+09
206,1.76163e+07,5.96928e+09
207,1.82151e+07,5.85744e+09
208,1.87543e+07,5.77182e+09
209,1.88885e+07,5.81379e+09
210,1.92458e+07,5.7881e+09
211,1.99813e+07,5.65502e+09
212,1.94836e+07,5.88225e+09
213,1.96344e+07,5.92e+09
214,1.98008e+07,5.95325e+09
215,2.07545e+07,5.75962e+09
216,2.03548e+07,5.95497e+09
217,2.06531e+07,5.9508e+09
218,2.10125e+07,5.93018e+09
219,2.20272e+07,5.73515e+09
220,2.16182e+07,5.92401e+09
221,2.1897e+07,5.92865e+09
222,2.23354e+07,5.89147e+09
223,2.33974e+07,5.70034e+09
224,2.33425e+07,5.79089e+09
225,2.36667e+07,5.78835e+09
226,2.40083e+07,5.78235e+09
227,2.54116e+07,5.53582e+09
228,2.47524e+07,5.75863e+09
229,2.49587e+07,5.78647e+09
230,2.51229e+07,5.82423e+09
231,2.59632e+07,5.70951e+09
232,2.55234e+07,5.88357e+09
233,2.58889e+07,5.8758e+09
234,2.66425e+07,5.78337e+09
235,2.75593e+07,5.6629e+09
236,2.7483e+07,5.75139e+09
237,2.7386e+07,5.84539e+09
238,2.78285e+07,5.82551e+09
239,2.89786e+07,5.66507e+09
240,2.86861e+07,5.79492e+09
241,2.9344e+07,5.73604e+09
242,2.98441e+07,5.71039e+09
243,3.05793e+07,5.64241e+09
244,3.01316e+07,5.7972e+09
245,3.0452e+07,5.80697e+09
246,3.08378e+07,5.80477e+09
247,3.21896e+07,5.62904e+09
248,3.17181e+07,5.78234e+09
249,3.20385e+07,5.794e+09
250,3.25164e+07,5.77786e+09
251,3.30182e+07,5.75855e+09
252,3.38764e+07,5.67998e+09
253,3.4459e+07,5.65063e+09
254,3.51135e+07,5.61129e+09
255,3.53058e+07,5.64686e+09
256,4.82263e+07,4.18278e+09
257,3.62628e+07,5.62811e+09
258,3.64235e+07,5.66891e+09
259,3.69022e+07,5.66065e+09
260,3.75154e+07,5.63283e+09
261,3.80006e+07,5.62527e+09
262,3.8444e+07,5.62451e+09
263,3.88599e+07,5.62823e+09
264,3.89401e+07,5.68091e+09
265,3.98823e+07,5.60992e+09
266,4.04926e+07,5.58812e+09
267,4.21562e+07,5.42833e+09
268,4.15349e+07,5.57163e+09
269,4.1906e+07,5.5843e+09
270,4.27282e+07,5.53811e+09
271,4.29522e+07,5.57063e+09
272,4.37477e+07,5.53007e+09
273,4.46267e+07,5.48111e+09
274,4.46008e+07,5.54475e+09
275,4.4866e+07,5.57251e+09
276,4.54276e+07,5.56385e+09
277,4.60224e+07,5.55181e+09
278,4.66487e+07,5.53677e+09
279,4.77053e+07,5.47274e+09
280,4.67757e+07,5.64169e+09
281,4.72772e+07,5.64183e+09
282,4.80393e+07,5.61178e+09
283,4.99791e+07,5.45154e+09
284,5.04699e+07,5.45591e+09
285,5.10268e+07,5.45354e+09
286,5.13538e+07,5.47602e+09
287,5.1857e+07,5.47993e+09
288,5.16866e+07,5.55564e+09
289,5.22577e+07,5.55233e+09
290,5.30812e+07,5.5231e+09
291,5.65437e+07,5.23868e+09
292,5.48213e+07,5.45913e+09
293,5.59426e+07,5.40483e+09
294,5.61601e+07,5.43918e+09
295,5.86828e+07,5.25862e+09
296,5.87866e+07,5.30287e+09
297,5.84326e+07,5.38922e+09
298,5.9092e+07,5.38306e+09
299,6.16572e+07,5.21119e+09
300,5.96215e+07,5.44334e+09
301,6.13203e+07,5.34561e+09
302,6.15942e+07,5.37503e+09
303,6.41376e+07,5.2133e+09
304,6.4878e+07,5.20497e+09
305,6.56205e+07,5.197e+09
306,6.62501e+07,5.19838e+09
307,6.61791e+07,5.25512e+09
308,6.41903e+07,5.47102e+09
309,6.5426e+07,5.42011e+09
310,6.67219e+07,5.36659e+09
311,6.90292e+07,5.23754e+09
312,6.77729e+07,5.38622e+09
313,6.83831e+07,5.38963e+09
314,6.9135e+07,5.38224e+09
315,7.34955e+07,5.11142e+09
316,7.20591e+07,5.26308e+09
317,7.27041e+07,5.26604e+09
318,7.32721e+07,5.2748e+09
319,7.67817e+07,5.08131e+09
320,9.48345e+07,4.15282e+09
321,7.75065e+07,5.12902e+09
322,7.82788e+07,5.126e+09
323,7.90361e+07,5.12431e+09
324,7.6789e+07,5.32337e+09
325,7.81271e+07,5.28077e+09
326,7.856e+07,5.30027e+09
327,8.35582e+07,5.0292e+09
328,7.98453e+07,5.31147e+09
329,8.03629e+07,5.32565e+09
330,8.26381e+07,5.22637e+09
331,8.55567e+07,5.09409e+09
332,8.44347e+07,5.20869e+09
333,8.42927e+07,5.26473e+09
334,8.5319e+07,5.24837e+09
335,8.85319e+07,5.10344e+09
336,8.76043e+07,5.20378e+09
337,8.86868e+07,5.18628e+09
338,8.92215e+07,5.2012e+09
339,9.25955e+07,5.05628e+09
340,9.08523e+07,5.19901e+09
341,9.29642e+07,5.12584e+09
342,9.25493e+07,5.19423e+09
343,9.42756e+07,5.14395e+09
344,9.26409e+07,5.28061e+09
345,9.50973e+07,5.18919e+09
346,9.42278e+07,5.28272e+09
347,9.76737e+07,5.14064e+09
348,9.91755e+07,5.10667e+09
349,9.92854e+07,5.1451e+09
350,1.00155e+08,5.14439e+09
351,1.01166e+08,5.13673e+09
352,1.0192e+08,5.14241e+09
353,9.92826e+07,5.32411e+09
354,9.93341e+07,5.36668e+09
355,1.03961e+08,5.17138e+09
356,1.05171e+08,5.15521e+09
357,1.04549e+08,5.22965e+09
358,1.06468e+08,5.17867e+09
359,1.08891e+08,5.10598e+09
360,1.08924e+08,5.14718e+09
361,1.09887e+08,5.14468e+09
362,1.10522e+08,5.1577e+09
363,1.14287e+08,5.02922e+09
364,1.126e+08,5.14687e+09
365,1.12853e+08,5.17774e+09
366,1.13686e+08,5.18214e+09
367,1.14483e+08,5.18835e+09
368,1.14574e+08,5.22672e+09
369,1.1696e+08,5.16193e+09
370,1.16378e+08,5.23001e+09
371,1.20096e+08,5.10929e+09
372,1.19907e+08,5.15881e+09
373,1.19763e+08,5.20673e+09
374,1.17514e+08,5.34918e+09
375,1.21325e+08,5.22282e+09
376,1.20126e+08,5.31723e+09
377,1.2021e+08,5.35598e+09
378,1.26664e+08,5.12363e+09
379,1.29964e+08,5.03324e+09
380,1.27774e+08,5.16011e+09
381,1.2919e+08,5.14394e+09
382,1.30432e+08,5.13518e+09
383,1.28553e+08,5.25126e+09
384,1.53464e+08,4.43335e+09
385,1.30775e+08,5.24325e+09
386,1.28673e+08,5.37054e+09
387,1.31788e+08,5.28444e+09
388,1.36209e+08,5.15265e+09
389,1.35175e+08,5.2323e+09
390,1.35594e+08,5.25643e+09
391,1.3774e+08,5.21443e+09
392,1.38386e+08,5.22999e+09
393,1.38934e+08,5.24932e+09
394,1.37985e+08,5.32586e+09
395,1.38045e+08,5.36415e+09
396,1.39334e+08,5.355e+09
397,1.41314e+08,5.32003e+09
398,1.40861e+08,5.37755e+09
399,1.44189e+08,5.29312e+09
400,1.50565e+08,5.10716e+09
401,1.48534e+08,5.21589e+09
402,1.52686e+08,5.11212e+09
403,1.52478e+08,5.15736e+09
404,1.51744e+08,5.22096e+09
405,1.53433e+08,5.20192e+09
406,1.51414e+08,5.31039e+09
407,1.54371e+08,5.24724e+09
408,1.59165e+08,5.1268e+09
409,1.6011e+08,5.1341e+09
410,1.60375e+08,5.16329e+09
411,1.58087e+08,5.27642e+09
412,1.60349e+08,5.24002e+09
413,1.61149e+08,5.25205e+09
414,1.60674e+08,5.30594e+09
415,1.65632e+08,5.18447e+09
416,1.78289e+08,4.85131e+09
417,1.64466e+08,5.29705e+09
418,1.65634e+08,5.29761e+09
419,1.70097e+08,5.1957e+09
420,1.67271e+08,5.32138e+09
421,1.68851e+08,5.30932e+09
422,1.69029e+08,5.3416e+09
423,1.75456e+08,5.18259e+09
424,1.72901e+08,5.29654e+09
425,1.75611e+08,5.25179e+09
426,1.7537e+08,5.29619e+09
427,1.7953e+08,5.20999e+09
428,1.76609e+08,5.33343e+09
429,1.78744e+08,5.30674e+09
430,1.80033e+08,5.30566e+09
431,1.87943e+08,5.11787e+09
432,1.86264e+08,5.20004e+09
433,1.84349e+08,5.2906e+09
434,1.86366e+08,5.26967e+09
435,1.90163e+08,5.20023e+09
436,1.87624e+08,5.30701e+09
437,1.96922e+08,5.09129e+09
438,1.96031e+08,5.14961e+09
439,2.06249e+08,4.92807e+09
440,2.02736e+08,5.04778e+09
441,1.95318e+08,5.27529e+09
442,1.97898e+08,5.24202e+09
443,2.0605e+08,5.06885e+09
444,1.98853e+08,5.28793e+09
445,2.01731e+08,5.2478e+09
446,2.02754e+08,5.25659e+09
447,2.10647e+08,5.09372e+09
448,2.56594e+08,4.20973e+09
449,2.16385e+08,5.02547e+09
450,2.18334e+08,5.01395e+09
451,2.24143e+08,4.91661e+09
452,2.22213e+08,4.99237e+09
453,2.23416e+08,4.9985e+09
454,2.26657e+08,4.95973e+09
455,2.35339e+08,4.80837e+09
456,2.28632e+08,4.98213e+09
457,2.29928e+08,4.98669e+09
458,2.31449e+08,4.9865e+09
459,2.39951e+08,4.84138e+09
460,2.29775e+08,5.0889e+09
461,2.2697e+08,5.18545e+09
462,2.34572e+08,5.0501e+09
463,2.42885e+08,4.90899e+09
464,2.42676e+08,4.94512e+09
465,2.44015e+08,4.94984e+09
466,2.4461e+08,4.96971e+09
467,2.49251e+08,4.90862e+09
468,2.45194e+08,5.02195e+09
469,2.48067e+08,4.99566e+09
470,2.50449e+08,4.97986e+09
471,2.51055e+08,4.99961e+09
472,2.46094e+08,5.13294e+09
473,2.44522e+08,5.19882e+09
474,2.56246e+08,4.99248e+09
475,2.57663e+08,4.99651e+09
476,2.57857e+08,5.02434e+09
477,2.55195e+08,5.1088e+09
478,2.53337e+08,5.1787e+09
479,2.58963e+08,5.09804e+09
480,2.86045e+08,4.64433e+09
481,2.68427e+08,4.98013e+09
482,2.68345e+08,5.01278e+09
483,2.72758e+08,4.96244e+09
484,2.67374e+08,5.09385e+09
485,2.70525e+08,5.06579e+09
486,2.63297e+08,5.2371e+09
487,2.69993e+08,5.1388e+09
488,2.68849e+08,5.1925e+09
489,2.70544e+08,5.19174e+09
490,2.69852e+08,5.23704e+09
491,2.77361e+08,5.12651e+09
492,2.7318e+08,5.23684e+09
493,2.8377e+08,5.0722e+09
494,2.91383e+08,4.96979e+09
495,2.93059e+08,4.97141e+09
496,2.91872e+08,5.02194e+09
497,2.95675e+08,4.98737e+09
498,2.92913e+08,5.06486e+09
499,3.03296e+08,4.92097e+09
500,3.03207e+08,4.95206e+09
501,2.99718e+08,5.03981e+09
502,3.0469e+08,4.98731e+09
503,3.13384e+08,4.87798e+09
504,3.05243e+08,5.038e+09
505,3.12098e+08,4.95672e+09
506,3.12687e+08,4.97682e+09
507,3.17951e+08,4.92349e+09
508,3.17855e+08,4.95416e+09
509,3.1737e+08,4.99109e+09
510,3.17721e+08,5.01501e+09
