n,time,FLOPs
2,580,2.06897e+08
3,744,5.08065e+08
4,1608,5.37313e+08
5,2770,5.95668e+08
6,4703,5.97066e+08
7,7616,5.79044e+08
8,10586,6.16664e+08
9,14931,6.18445e+08
10,18788,6.70641e+08
11,24128,6.92059e+08
12,30444,7.09499e+08
13,35941,7.61748e+08
14,44164,7.72213e+08
15,53365,7.84222e+08
16,63882,7.93463e+08
17,76055,7.97975e+08
18,89540,8.03306e+08
19,106917,7.9009e+08
20,122450,8.03593e+08
21,139944,8.13025e+08
22,160380,8.14815e+08
23,182937,8.15461e+08
24,205118,8.25593e+08
25,230297,8.30449e+08
26,258057,8.33025e+08
27,287471,8.3685e+08
28,321732,8.33389e+08
29,355377,8.37741e+08
30,392514,8.39206e+08
31,427526,8.49675e+08
32,467969,8.5339e+08
33,512596,8.54041e+08
34,559861,8.54826e+08
35,606876,8.59896e+08
36,658601,8.619e+08
37,713269,8.63699e+08
38,770581,8.65747e+08
39,838786,8.59521e+08
40,893539,8.70247e+08
41,965191,8.67329e+08
42,1.03058e+06,8.72944e+08
43,1.10321e+06,8.74881e+08
44,1.18316e+06,8.73783e+08
45,1.25893e+06,8.78245e+08
46,1.34397e+06,8.78535e+08
47,1.43334e+06,8.78456e+08
48,1.53726e+06,8.72283e+08
49,1.62061e+06,8.80037e+08
50,1.72278e+06,8.79395e+08
51,1.82086e+06,8.82778e+08
52,1.92701e+06,8.84024e+08
53,2.03787e+06,8.84933e+08
54,2.1531e+06,8.85729e+08
55,2.27652e+06,8.84968e+08
56,2.40346e+06,8.84644e+08
57,2.52717e+06,8.87084e+08
58,2.65534e+06,8.8935e+08
59,2.78938e+06,8.91033e+08
60,2.94538e+06,8.87356e+08
61,3.07928e+06,8.91799e+08
62,3.2501e+06,8.87049e+08
63,3.39172e+06,8.91695e+08
64,3.54408e+06,8.94535e+08
65,3.71453e+06,8.94015e+08
66,3.88228e+06,8.95373e+08
67,4.05706e+06,8.96238e+08
68,4.23699e+06,8.97082e+08
69,4.42549e+06,8.97229e+08
70,4.72219e+06,8.77856e+08
71,4.82812e+06,8.95831e+08
72,5.03465e+06,8.95809e+08
73,5.22465e+06,8.99616e+08
74,5.43961e+06,8.99981e+08
75,5.6553e+06,9.01146e+08
76,5.88615e+06,9.00821e+08
77,6.1118e+06,9.02184e+08
