n,time,FLOPs
2,506,2.37154e+08
3,801,4.7191e+08
4,1584,5.45455e+08
5,2866,5.75715e+08
6,4667,6.01671e+08
7,7552,5.83951e+08
8,10988,5.94103e+08
9,13887,6.64938e+08
10,17476,7.20989e+08
11,24133,6.91916e+08
12,30652,7.04685e+08
13,37059,7.38768e+08
14,44260,7.70538e+08
15,54934,7.61823e+08
16,65865,7.69574e+08
17,79605,7.62389e+08
18,97300,7.39239e+08
19,107873,7.83088e+08
20,124634,7.89512e+08
21,141865,8.02016e+08
22,163680,7.98387e+08
23,187339,7.963e+08
24,208534,8.12069e+08
25,233738,8.18224e+08
26,261949,8.20648e+08
27,293527,8.19584e+08
28,324316,8.26749e+08
29,358241,8.31044e+08
30,395925,8.31976e+08
31,433857,8.37276e+08
32,476522,8.38073e+08
33,520632,8.40859e+08
34,565801,8.45852e+08
35,617520,8.45074e+08
36,667804,8.50022e+08
37,722301,8.52899e+08
38,778475,8.56968e+08
39,843094,8.55129e+08
40,904877,8.59343e+08
41,972045,8.61213e+08
42,1.04355e+06,8.62097e+08
43,1.12928e+06,8.54682e+08
44,1.19433e+06,8.65613e+08
45,1.27509e+06,8.67116e+08
46,1.38098e+06,8.54993e+08
47,1.44963e+06,8.68585e+08
48,1.54942e+06,8.65439e+08
49,1.6376e+06,8.70905e+08
50,1.73096e+06,8.75238e+08
51,1.84077e+06,8.7323e+08
52,1.94775e+06,8.7461e+08
53,2.06057e+06,8.75184e+08
54,2.1761e+06,8.76369e+08
55,2.28617e+06,8.81234e+08
56,2.41611e+06,8.80011e+08
57,2.54203e+06,8.81899e+08
58,2.67788e+06,8.81866e+08
59,2.8095e+06,8.84655e+08
60,2.95309e+06,8.85038e+08
61,3.10211e+06,8.85235e+08
62,3.25477e+06,8.85777e+08
63,3.4033e+06,8.88661e+08
64,3.57977e+06,8.85617e+08
65,3.74154e+06,8.87562e+08
66,3.90991e+06,8.89045e+08
67,4.08786e+06,8.89485e+08
68,4.26832e+06,8.90498e+08
69,4.45992e+06,8.90302e+08
70,4.64672e+06,8.92112e+08
71,4.8447e+06,8.92765e+08
72,4.9567e+06,9.09897e+08
73,5.21708e+06,9.00922e+08
74,5.35819e+06,9.13656e+08
75,5.57945e+06,9.13396e+08
76,5.79706e+06,9.14665e+08
77,6.16376e+06,8.94579e+08
78,6.21995e+06,9.2141e+08
79,6.52267e+06,9.12803e+08
80,6.93374e+06,8.91641e+08
81,7.05331e+06,9.09737e+08
82,7.27306e+06,9.15262e+08
83,7.52744e+06,9.17016e+08
84,7.78861e+06,9.18622e+08
85,8.09221e+06,9.16048e+08
86,8.36147e+06,9.18146e+08
87,8.66897e+06,9.1677e+08
88,8.96341e+06,9.17522e+08
89,9.29941e+06,9.14806e+08
90,9.55215e+06,9.20903e+08
91,9.88339e+06,9.19981e+08
92,1.03011e+07,9.12044e+08
93,1.07233e+07,9.04961e+08
94,1.10956e+07,9.03059e+08
