n,time,FLOPs
2,750,1.6e+08
3,743,5.08748e+08
4,1611,5.36313e+08
5,2906,5.67791e+08
6,5122,5.48223e+08
7,7905,5.57875e+08
8,11579,5.63779e+08
9,14740,6.26459e+08
10,18975,6.64032e+08
11,23633,7.06554e+08
12,29228,7.39017e+08
13,35870,7.63256e+08
14,43729,7.79894e+08
15,54314,7.7052e+08
16,64994,7.79887e+08
17,76942,7.88776e+08
18,91709,7.84307e+08
19,105508,8.00641e+08
20,121455,8.10177e+08
21,139946,8.13014e+08
22,159149,8.21117e+08
23,195690,7.62318e+08
24,203968,8.30248e+08
25,230610,8.29322e+08
26,257932,8.33429e+08
27,288598,8.33582e+08
28,376614,7.11944e+08
29,352959,8.4348e+08
30,387746,8.49525e+08
31,425779,8.53161e+08
32,469517,8.50576e+08
33,514822,8.50348e+08
34,557533,8.58396e+08
35,602782,8.65736e+08
36,668024,8.49742e+08
37,713432,8.63502e+08
38,769644,8.66801e+08
39,828539,8.70151e+08
40,897597,8.66313e+08
41,959742,8.72253e+08
42,1.03233e+06,8.71468e+08
43,1.10297e+06,8.75069e+08
44,1.17733e+06,8.78112e+08
45,1.2612e+06,8.76665e+08
46,1.34328e+06,8.78989e+08
47,1.43016e+06,8.80414e+08
48,1.52098e+06,8.81621e+08
49,1.61892e+06,8.80953e+08
50,2.04668e+06,7.40221e+08
51,1.81574e+06,8.85269e+08
52,1.92114e+06,8.86724e+08
53,2.03236e+06,8.8733e+08
54,2.14889e+06,8.87464e+08
55,2.27577e+06,8.85259e+08
56,2.38951e+06,8.8981e+08
57,2.51923e+06,8.8988e+08
58,2.65296e+06,8.90149e+08
59,2.78618e+06,8.92056e+08
60,2.93148e+06,8.91563e+08
61,3.07375e+06,8.93402e+08
62,3.22242e+06,8.9467e+08
63,3.37893e+06,8.9507e+08
64,3.54649e+06,8.93928e+08
65,3.7025e+06,8.96921e+08
66,3.87466e+06,8.97133e+08
67,4.05174e+06,8.97415e+08
68,4.80754e+06,7.90618e+08
69,4.43374e+06,8.95559e+08
70,4.61852e+06,8.97561e+08
71,4.80698e+06,8.99771e+08
72,5.01586e+06,8.99164e+08
73,5.19927e+06,9.04007e+08
74,5.44876e+06,8.98469e+08
75,5.61332e+06,9.07885e+08
76,5.88334e+06,9.01251e+08
77,6.10527e+06,9.0315e+08
78,6.34144e+06,9.03758e+08
79,6.58665e+06,9.03937e+08
80,6.84281e+06,9.03488e+08
81,6.82884e+06,9.39641e+08
82,7.22412e+06,9.21463e+08
83,7.62722e+06,9.05019e+08
84,7.90932e+06,9.04602e+08
85,8.07039e+06,9.18524e+08
86,8.31062e+06,9.23763e+08
87,8.55705e+06,9.2876e+08
88,8.93881e+06,9.20048e+08
89,9.24907e+06,9.19785e+08
90,9.50047e+06,9.25912e+08
91,9.85772e+06,9.22377e+08
92,1.01391e+07,9.26615e+08
93,1.04805e+07,9.25929e+08
94,1.10067e+07,9.10356e+08
95,1.1217e+07,9.22053e+08
96,1.17649e+07,9.07116e+08
97,1.20177e+07,9.16025e+08
98,1.24979e+07,9.0831e+08
99,1.2817e+07,9.13038e+08
100,1.32452e+07,9.10517e+08
101,1.36474e+07,9.10416e+08
102,1.40763e+07,9.09113e+08
103,1.43581e+07,9.17694e+08
104,1.4878e+07,9.11631e+08
105,1.50474e+07,9.27577e+08
106,1.57498e+07,9.11731e+08
107,1.64226e+07,8.99322e+08
108,1.66459e+07,9.12328e+08
109,1.71146e+07,9.12182e+08
110,1.75975e+07,9.11753e+08
111,1.80377e+07,9.13946e+08
112,1.85294e+07,9.1392e+08
113,1.9001e+07,9.15286e+08
114,1.92479e+07,9.27714e+08
115,1.96811e+07,9.31345e+08
116,2.01774e+07,9.32306e+08
117,2.07635e+07,9.29589e+08
118,2.13126e+07,9.29025e+08
119,2.21898e+07,9.15146e+08
120,2.24991e+07,9.25476e+08
121,2.29073e+07,9.31867e+08
122,2.34924e+07,9.31341e+08
123,2.39925e+07,9.34509e+08
124,2.55267e+07,8.99912e+08
125,2.52659e+07,9.31343e+08
126,2.57999e+07,9.34102e+08
127,2.65305e+07,9.30151e+08
128,2.75911e+07,9.15662e+08
129,2.82445e+07,9.15581e+08
130,2.88573e+07,9.17114e+08
131,2.94468e+07,9.19627e+08
132,2.95892e+07,9.36292e+08
133,3.03079e+07,9.34996e+08
134,3.11977e+07,9.28945e+08
135,3.16753e+07,9.35551e+08
136,3.23246e+07,9.37256e+08
137,3.31433e+07,9.34392e+08
138,3.41033e+07,9.28096e+08
139,3.46699e+07,9.32896e+08
140,3.59698e+07,9.18705e+08
141,3.67483e+07,9.18625e+08
142,3.75694e+07,9.17779e+08
143,3.92121e+07,8.98017e+08
144,3.90362e+07,9.21099e+08
145,3.93016e+07,9.34051e+08
146,3.99764e+07,9.37391e+08
147,4.09127e+07,9.34868e+08
148,4.16158e+07,9.37935e+08
149,4.28447e+07,9.29603e+08
150,4.38881e+07,9.25877e+08
151,4.51975e+07,9.17135e+08
152,4.59803e+07,9.19531e+08
153,4.70183e+07,9.17076e+08
154,4.83395e+07,9.09596e+08
155,4.84507e+07,9.25283e+08
156,4.96412e+07,9.20667e+08
157,5.13899e+07,9.06532e+08
158,5.19538e+07,9.13918e+08
159,5.25966e+07,9.19981e+08
160,5.37605e+07,9.17134e+08
161,5.42434e+07,9.26102e+08
162,5.45271e+07,9.38539e+08
163,5.52221e+07,9.43976e+08
164,5.73361e+07,9.2599e+08
165,5.89562e+07,9.17101e+08
166,5.99292e+07,9.18699e+08
167,6.08227e+07,9.21645e+08
168,6.08554e+07,9.37778e+08
169,6.15631e+07,9.43634e+08
170,6.36499e+07,9.28978e+08
171,6.49109e+07,9.27085e+08
172,6.52512e+07,9.3851e+08
173,6.63064e+07,9.39761e+08
174,6.91799e+07,9.16421e+08
175,6.96255e+07,9.26331e+08
176,7.13753e+07,9.19186e+08
177,7.02559e+07,9.49825e+08
178,7.13727e+07,9.50883e+08
179,7.15129e+07,9.65089e+08
180,7.35979e+07,9.53538e+08
181,7.64065e+07,9.33866e+08
182,7.84487e+07,9.247e+08
183,8.03739e+07,9.17496e+08
184,8.04574e+07,9.31638e+08
185,8.06855e+07,9.4422e+08
186,8.24265e+07,9.39332e+08
187,8.21571e+07,9.5768e+08
188,8.53139e+07,9.37106e+08
189,8.7785e+07,9.25324e+08
190,8.72382e+07,9.45969e+08
191,8.94033e+07,9.37699e+08
192,9.27821e+07,9.17804e+08
193,9.45143e+07,9.15123e+08
194,9.39438e+07,9.35053e+08
195,9.50025e+07,9.38993e+08
196,9.7601e+07,9.28115e+08
197,9.78591e+07,9.39896e+08
198,9.87091e+07,9.46052e+08
199,9.98616e+07,9.49362e+08
200,9.84435e+07,9.77616e+08
201,1.01924e+08,9.58454e+08
202,1.03422e+08,9.58727e+08
203,1.04837e+08,9.59891e+08
204,1.06002e+08,9.63431e+08
205,1.07559e+08,9.63501e+08
206,1.10588e+08,9.50881e+08
207,1.09678e+08,9.72797e+08
208,1.16569e+08,9.28602e+08
209,1.1429e+08,9.60839e+08
210,1.15122e+08,9.67643e+08
211,1.17139e+08,9.64615e+08
212,1.20044e+08,9.54711e+08
213,1.19943e+08,9.69087e+08
