n,time,FLOPs
2,2820,1.2766e+07
4,4383,7.66598e+07
6,6220,1.90997e+08
8,5074,5.676e+08
10,20278,2.81093e+08
12,18735,5.30344e+08
14,16381,9.69172e+08
16,17058,1.39571e+09
18,52585,6.46953e+08
20,40033,1.16904e+09
22,39109,1.59646e+09
24,40127,2.02397e+09
26,40607,2.54705e+09
28,39866,3.24487e+09
30,41005,3.88489e+09
32,40313,4.80083e+09
34,384962,6.03582e+08
36,316945,8.70965e+08
38,318789,1.01917e+09
40,336223,1.12782e+09
42,372323,1.17972e+09
44,333062,1.51712e+09
46,324979,1.77755e+09
48,325777,2.01561e+09
50,328119,2.2629e+09
52,321964,2.59512e+09
54,322802,2.89972e+09
56,331971,3.14572e+09
58,324559,3.57587e+09
60,323666,3.97076e+09
62,362095,3.9173e+09
64,333166,4.68408e+09
66,2.62993e+06,6.50934e+08
68,2.40494e+06,7.78697e+08
70,2.39565e+06,8.52921e+08
72,2.41907e+06,9.19334e+08
74,2.42782e+06,9.94683e+08
76,2.42315e+06,1.0798e+09
78,2.44858e+06,1.15539e+09
80,2.43708e+06,1.25265e+09
82,2.41355e+06,1.36233e+09
84,2.43288e+06,1.45303e+09
86,2.42845e+06,1.56237e+09
88,2.41922e+06,1.68054e+09
90,2.45583e+06,1.77117e+09
92,2.46267e+06,1.88687e+09
94,2.43191e+06,2.03831e+09
96,2.42556e+06,2.17714e+09
98,2.49494e+06,2.2519e+09
100,2.42013e+06,2.46681e+09
102,2.40436e+06,2.63523e+09
104,2.43119e+06,2.76273e+09
106,2.44315e+06,2.91116e+09
108,2.42876e+06,3.09759e+09
110,2.44972e+06,3.24514e+09
112,2.43599e+06,3.44498e+09
114,2.46828e+06,3.5856e+09
116,2.45543e+06,3.79771e+09
118,2.45465e+06,3.99911e+09
120,2.47801e+06,4.16657e+09
122,2.46453e+06,4.40264e+09
124,2.47691e+06,4.59992e+09
126,2.45266e+06,4.87414e+09
128,2.45722e+06,5.10079e+09
130,1.86051e+07,7.05791e+08
132,1.76027e+07,7.80991e+08
134,1.78017e+07,8.07941e+08
136,1.76274e+07,8.53059e+08
138,1.77821e+07,8.83546e+08
140,1.77806e+07,9.22644e+08
142,1.75915e+07,9.73157e+08
144,1.77958e+07,1.00325e+09
146,1.76002e+07,1.05731e+09
148,1.78886e+07,1.08365e+09
150,1.75585e+07,1.14944e+09
152,1.76497e+07,1.18991e+09
154,1.76191e+07,1.2397e+09
156,1.75601e+07,1.29301e+09
158,1.76515e+07,1.33649e+09
160,1.79446e+07,1.36527e+09
162,1.75811e+07,1.44647e+09
164,1.75413e+07,1.50416e+09
166,1.7536e+07,1.56039e+09
168,1.77822e+07,1.59514e+09
170,1.75827e+07,1.6716e+09
172,1.78339e+07,1.70697e+09
174,1.76683e+07,1.78383e+09
176,1.76905e+07,1.8438e+09
178,1.78505e+07,1.89033e+09
180,1.76772e+07,1.974e+09
182,1.76894e+07,2.03919e+09
184,1.77135e+07,2.10435e+09
186,1.7647e+07,2.18198e+09
188,1.78885e+07,2.22277e+09
190,1.78626e+07,2.29786e+09
192,1.76825e+07,2.39541e+09
194,1.76879e+07,2.47035e+09
196,1.76109e+07,2.55875e+09
198,1.76267e+07,2.63559e+09
200,1.79128e+07,2.67294e+09
202,1.77159e+07,2.78462e+09
204,1.78912e+07,2.84011e+09
206,1.76288e+07,2.96807e+09
208,1.76538e+07,3.05111e+09
210,1.76754e+07,3.13621e+09
212,1.77575e+07,3.21182e+09
214,1.78815e+07,3.28074e+09
216,1.76921e+07,3.40979e+09
218,1.77122e+07,3.50148e+09
220,1.77329e+07,3.5946e+09
222,1.79457e+07,3.64981e+09
224,1.79813e+07,3.74201e+09
226,1.78087e+07,3.88044e+09
228,1.78259e+07,3.98062e+09
230,1.82174e+07,3.99855e+09
232,1.77197e+07,4.21912e+09
234,1.77764e+07,4.31545e+09
236,1.78708e+07,4.40374e+09
238,1.76737e+07,4.56711e+09
240,1.77439e+07,4.66477e+09
242,1.78244e+07,4.76086e+09
244,1.76768e+07,4.92071e+09
246,1.80287e+07,4.94435e+09
248,1.769e+07,5.16299e+09
250,1.79249e+07,5.21968e+09
252,1.77626e+07,5.3949e+09
254,1.77016e+07,5.54349e+09
256,1.78966e+07,5.61373e+09
258,1.28478e+08,8.00458e+08
260,1.24983e+08,8.42142e+08
262,1.2497e+08,8.61823e+08
264,1.24255e+08,8.86798e+08
266,1.29607e+08,8.69664e+08
268,1.25747e+08,9.1674e+08
270,1.24855e+08,9.44128e+08
272,1.25838e+08,9.57735e+08
274,1.25911e+08,9.78468e+08
276,1.25261e+08,1.00525e+09
278,1.24941e+08,1.02991e+09
280,1.25561e+08,1.04711e+09
282,1.26167e+08,1.06459e+09
284,1.26999e+08,1.08029e+09
286,1.26912e+08,1.10405e+09
288,1.27417e+08,1.12292e+09
290,1.27072e+08,1.1496e+09
292,1.2708e+08,1.17348e+09
294,1.2766e+08,1.19234e+09
296,1.24457e+08,1.24816e+09
298,1.26319e+08,1.25488e+09
