n,time,FLOPs
2,16118,2.23353e+06
4,364672,921376
6,1.98511e+06,598454
8,2.93767e+06,980369
10,3.00166e+06,1.89895e+06
12,1.32797e+07,748211
14,4.06582e+06,3.90475e+06
16,5.87937e+06,4.04941e+06
18,5.11634e+06,6.64928e+06
20,4.74758e+06,9.85764e+06
22,5.93205e+06,1.05252e+07
24,2.59005e+07,3.13569e+06
26,2.7483e+07,3.76335e+06
28,2.74942e+07,4.70499e+06
30,2.59368e+07,6.14186e+06
32,3.96714e+07,4.87847e+06
34,4.06846e+07,5.71116e+06
36,3.96579e+07,6.96074e+06
38,4.11468e+07,7.89612e+06
40,4.53734e+07,8.35731e+06
42,4.48808e+07,9.78672e+06
44,4.73617e+07,1.06689e+07
46,4.89598e+07,1.17988e+07
48,1.6746e+08,3.92118e+06
50,1.65935e+08,4.47466e+06
52,1.64618e+08,5.07562e+06
54,1.66392e+08,5.62548e+06
56,1.65404e+08,6.31355e+06
58,1.65624e+08,7.00732e+06
60,1.66639e+08,7.71247e+06
62,1.70573e+08,8.31573e+06
64,2.39532e+08,6.51511e+06
66,2.34404e+08,7.30323e+06
68,2.37791e+08,7.87548e+06
70,2.35842e+08,8.66384e+06
72,2.36985e+08,9.3843e+06
74,2.37248e+08,1.01789e+07
76,2.37341e+08,1.10243e+07
78,2.36288e+08,1.19729e+07
80,2.47934e+08,1.23129e+07
82,2.49944e+08,1.31551e+07
84,2.52031e+08,1.40263e+07
86,2.48479e+08,1.52695e+07
88,2.51548e+08,1.61623e+07
90,2.51607e+08,1.72877e+07
92,2.52811e+08,1.83803e+07
94,2.53479e+08,1.95558e+07
96,1.05449e+09,5.00791e+06
98,1.05906e+09,5.30501e+06
100,1.11739e+09,5.34278e+06
102,1.08106e+09,5.86094e+06
104,1.06955e+09,6.27994e+06
106,1.0657e+09,6.67392e+06
108,1.06796e+09,7.04456e+06
110,1.153e+09,6.89481e+06
112,1.12649e+09,7.44965e+06
114,1.08565e+09,8.15207e+06
116,1.09067e+09,8.54982e+06
118,1.0982e+09,8.93863e+06
120,1.09061e+09,9.46703e+06
122,1.1008e+09,9.85683e+06
124,1.10342e+09,1.03257e+07
126,1.09349e+09,1.09325e+07
128,1.56578e+09,8.00481e+06
130,1.56386e+09,8.39673e+06
132,1.57149e+09,8.74811e+06
134,1.57858e+09,9.11117e+06
136,1.64457e+09,9.14359e+06
138,1.57566e+09,9.97126e+06
140,1.56834e+09,1.04602e+07
142,1.56441e+09,1.09429e+07
144,1.58083e+09,1.12939e+07
146,1.57998e+09,1.17779e+07
148,1.58063e+09,1.22641e+07
150,1.57752e+09,1.27938e+07
152,1.58469e+09,1.32528e+07
154,1.5808e+09,1.38173e+07
156,1.58348e+09,1.4339e+07
158,1.59098e+09,1.4828e+07
160,1.65576e+09,1.47963e+07
162,1.65981e+09,1.53213e+07
164,1.66211e+09,1.58743e+07
166,1.65911e+09,1.64927e+07
168,1.66712e+09,1.70145e+07
