numProcesses,elapsed_time
1,1.29518
2,0.664582
3,0.455295
4,0.335683
5,0.280199
6,0.233777
7,0.212534
8,0.185306
9,0.167708
10,0.151621
11,0.138068
12,0.128113
13,0.119688
14,0.112992
15,0.10689
16,0.100993
17,0.0972448
18,0.0940263
19,0.0944943
20,0.0858409
21,0.0831185
22,0.0787573
23,0.0993324
24,0.0776127
25,0.079688
26,0.0768579
27,0.0729753
28,0.0955913
29,0.0824298
30,0.0717169
31,0.074929
32,0.0746384
33,0.0863648
34,0.0715339
35,0.0636274
36,0.0833957
37,0.0675468
38,0.0621495
39,0.0659117
40,0.0674107
