message_size,my_bandwidth,bcast_bandwidth
2048,25752.8,308773
524288,191631,5.93912e+06
8,1.69509e+06,1.72321e+07
8,918155,3.24873e+07
8,1.91645e+06,6.04915e+07
8,842272,3.36046e+07
8,86892.7,8.83841e+06
8,3.35081e+06,3.42865e+07
8,2.23491e+07,2.63568e+07
8,3.34163e+06,2.52357e+08
8,1.40121e+07,1.45654e+08
8,1.93436e+07,2.86118e+08
8,2.56036e+07,3.21791e+08
8,5.43141e+07,6.45116e+08
8,5.56002e+07,5.45674e+08
8,5.70212e+07,5.5434e+08
8,8.13188e+07,6.30077e+08
8,7.97529e+07,6.19872e+08
8,7.19927e+07,5.98096e+08
8,6.81134e+07,5.47632e+08
8,6.55681e+07,5.36941e+08
8,6.51623e+07,7.2396e+08
8,6.0706e+07,7.2937e+08
8,6.15243e+07,7.29798e+08
8,6.12039e+07,7.15617e+08
